Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
158,Geoscience (P),IBM,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet",United States,2008,6400,15760,28160,840000,0,393.6,AMD x86_64,AMD x86_64 Opteron Dual Core,2200,IBM Cluster,BladeCenter LS20 CLuster,Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
159,Computacenter,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United Kingdom,2008,2368,15746.5,28416,0,0,263.77,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
160,Semiconductor Company (C),IBM,"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet",United States,2008,3200,15733.3,34137.6,0,0,298.56,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
161,Semiconductor Company (C),IBM,"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet",United States,2008,3200,15733.3,34137.6,0,0,298.56,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
162,Financial Institution (U1),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3.0 GHz, GigEthernet",United States,2008,3248,15732.5,38976,0,0,309.73,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
163,Actebis Peacock GmbH,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.66GHz, GigEthernet",Germany,2008,2720,15650.8,28940.8,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
164,Stanford University/Biomedical Computational Facility,Dell,"PowerEdge 1950, 2.33 GHz, Infiniband",United States,2007,2208,15570,20578,730000,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,Dell PowerEdge Cluster,PowerEdge 1950,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband DDR,North America,Americas
165,NOAA R&D/ National Centers for Environmental Prediction,IBM,eServer pSeries p5 575 1.9 GHz,United States,2006,2368,15470,17996.8,0,0,0,Power,POWER5+,1900,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,SP Switch,Federation,North America,Americas
166,NOAA R&D/ National Centers for Environmental Prediction,IBM,eServer pSeries p5 575 1.9 GHz,United States,2006,2368,15470,17996.8,0,0,0,Power,POWER5+,1900,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,SP Switch,Federation,North America,Americas
167,IT Services Provider (C),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 2.33GHz, GigEthernet",United States,2007,3080,15410.3,28705.6,0,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
168,Kaiser,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2 GHz, GigEthernet",United States,2008,3584,15363.4,28672,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
169,Ufa State Aviation Technical University,IBM,"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband",Russia,2007,2128,15328.5,19858.5,0,0,85.52,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,IBM Cluster,"BladeCenter HS21 Cluster, Xeon quad core",Linux,Cluster,Academic,Aerospace,Infiniband,Infiniband,Eastern Europe,Europe
170,US Army Research Laboratory (ARL),Linux Networx,Evolocity II (LS Supersystem),United States,2006,3368,15200,19660,0,0,0,Intel EM64T,Intel EM64T Xeon 50xx (Dempsy),3200,Linux Networx Evolocity,Evolocity II (LS Supersystem),SuSE Linux Enterprise Server 9,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas
171,Financial Services (N),IBM,"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet",United States,2008,3152,15160,33625.5,0,0,294.08,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
172,Kyushu University,Fujitsu,"PRIMERGY RX200S3, Xeon Dual Core 3.0 GHz, Infiniband",Japan,2007,1536,15090,18432,500000,95000,0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,PRIMERGY,PRIMERGY,Redhat Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia
173,Zeta Ass.,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2008,2248,15071.4,26976,0,0,250.41,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
174,Telecommunication Company,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",Japan,2008,2232,14980.4,26784,0,0,248.62,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
175,DOE/Oak Ridge National Laboratory,Cray Inc.,Cray X1E (2GB),United States,2005,1014,14955,18333,0,0,0,Cray,Cray X1E,1130,Cray X1,Cray X1E,UNICOS,MPP,Research,Not Specified,Crossbar,Crossbar,North America,Americas
176,Cray Inc.,Cray Inc.,Cray XT4 QuadCore 2.2 GHz,United States,2008,2128,14948,18726.4,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2200,Cray XT,Cray XT4 QuadCore,UNICOS,MPP,Vendor,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
177,Automotive Manufacturer,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 52xx 3 GHz, GigEthernet",Japan,2008,2216,14942.3,26592,0,0,0,Intel EM64T,Intel EM64T Xeon 52xx (Wolfdale),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Automotive,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
178,"NanJing Institute of Geophysical Prospecting, PEPRIS, SINOPEC",IBM,"BladeCenter HS21 Cluster, Xeon quad core 2.66 GHz, Infiniband",China,2008,2048,14910,21848.1,0,0,95.54,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,IBM Cluster,"BladeCenter HS21 Cluster, Xeon quad core",Linux,Cluster,Research,Geophysics,Infiniband,Infiniband,Eastern Asia,Asia
179,IT Service Provider (C),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 2.33GHz, GigEthernet",United States,2008,2976,14895,27736,0,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
180,DLR - CASE,Sun Microsystems,"Sun Blade x4200, Opteron DC 3.0 GHz, Infiniband",Germany,2008,3072,14859,18432,840000,0,0,AMD x86_64,AMD x86_64 Opteron Dual Core,3000,Sun Blade System,Sun Blade x4200,Linux,Cluster,Research,Aerospace,Infiniband,Infinband DDR 4x,Western Europe,Europe
181,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.83 GHz, GigEthernet",United States,2008,2368,14854.2,26805.8,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
182,Financial DCCoD (B),IBM,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet",United Kingdom,2008,6000,14775,26400,0,0,369,AMD x86_64,AMD x86_64 Opteron Dual Core,2200,IBM Cluster,BladeCenter LS20 CLuster,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
183,Adam Opel AG,IBM,"Power 575, p6 4.7 GHz, Infiniband",Germany,2008,960,14668.8,18048,0,0,153.43,Power,POWER6,4700,IBM pSeries,pSeries 575,AIX,MPP,Industry,Automotive,Infiniband,Infiniband,Western Europe,Europe
184,Japan Marine Science and Technology,SGI,Altix 4700 1.6 GHz,Japan,2006,2560,14593,16384,483800,0,0,Intel IA-64,Intel IA-64 Itanium 2 Dual Core,1600,SGI Altix,SGI Altix 4700,SUSE Linux,MPP,Research,Not Specified,NUMAlink,NUMAlink,Eastern Asia,Asia
185,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2944,14528.3,35328,0,0,280.74,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
186,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2944,14528.3,35328,0,0,280.74,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
187,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2944,14528.3,35328,0,0,280.74,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
188,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2944,14528.3,35328,0,0,280.74,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
189,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2944,14528.3,35328,0,0,280.74,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
190,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2944,14528.3,35328,0,0,280.74,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
191,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2944,14528.3,35328,0,0,280.74,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
192,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2944,14528.3,35328,0,0,280.74,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
193,Naval Research Laboratory (NRL),SGI,"SGI Altix ICE 8200, 3.0 GHz",United States,2007,1536,14520,18432,0,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),3000,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
194,IT Service Provider (),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.33 GHz, GigEthernet",France,2008,2872,14380,26767,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
195,Information Agency,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 2.33GHz, GigEthernet",France,2008,2864,14341,26692,0,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Media,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
196,Web Services,IBM,"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet",United States,2008,2888,14252,30809.2,0,0,269.45,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
197,Swiss Scientific Computing Center (CSCS),Cray Inc.,"Cray XT3, 2.6 GHz dual Core",Switzerland,2006,3328,14220,17305.6,0,0,0,AMD x86_64,AMD x86_64 Opteron Dual Core,2600,Cray XT,Cray XT3,UNICOS/Linux,MPP,Research,Not Specified,Cray Interconnect,XT3 Internal Interconnect,Western Europe,Europe
198,Banking (M),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet",United States,2008,2880,14212.5,26876.2,0,0,231.49,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2333,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
199,Banking (M),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet",United States,2008,2880,14212.5,26876.2,0,0,231.49,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2333,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
200,Banking (M),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet",United States,2008,2880,14212.5,26876.2,0,0,231.49,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2333,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
201,Banking (M),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet",United States,2008,2880,14212.5,26876.2,0,0,231.49,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2333,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
202,Banking (M),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet",United States,2008,2880,14212.5,26876.2,0,0,231.49,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2333,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
203,Financial Institution (Q),IBM,"BladeCenter LS21, Opteron Dual Core 2.2 GHz, GigEthernet, Windows",France,2008,6400,14184,28160,840000,0,416.45,AMD x86_64,AMD x86_64 Opteron Dual Core,2200,IBM Cluster,BladeCenter LS21 CLuster,Windows Compute Cluster Server 2003,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
204,Semiconductor Company (P),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 51xx 2.66GHz, GigEthernet",United States,2007,2400,14170.7,25536,0,0,0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Hardware,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
205,Lockheed,IBM,"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband",United States,2008,1952,14078.3,18216.1,0,0,78.45,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,IBM Cluster,"BladeCenter HS21 Cluster, Xeon quad core",Linux,Cluster,Industry,Aerospace,Infiniband,Infiniband,North America,Americas
206,DOE/NNSA/LANL,IBM,"xSeries x3755 Cluster Opteron dual core 2.2 GHz, Infiniband",United States,2007,4608,14070,20275.2,0,0,518.4,AMD x86_64,AMD x86_64 Opteron Dual Core,2200,IBM Cluster,xSeries x3755 Cluster Opteron,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
207,DOE/NNSA/LANL,IBM,"xSeries x3755 Cluster Opteron dual core 2.2 GHz, Infiniband",United States,2007,4608,14070,20275.2,0,0,518.4,AMD x86_64,AMD x86_64 Opteron Dual Core,2200,IBM Cluster,xSeries x3755 Cluster Opteron,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
208,DOE/NNSA/LANL,IBM,"xSeries x3755 Cluster Opteron dual core 2.2 GHz, Infiniband",United States,2007,4608,14070,20275.2,0,0,518.4,AMD x86_64,AMD x86_64 Opteron Dual Core,2200,IBM Cluster,xSeries x3755 Cluster Opteron,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
209,Centro de Supercomp. de Galicia,Hewlett-Packard,Integrity rx5670 Itanium2 Cluster,Spain,2008,2528,14010,16179,0,0,0,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,HP Cluster Platform 6000,Integrity rx5670 Itanium2 Cluster,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband DDR,Southern Europe,Europe
210,CeSViMa - BSC,IBM,"BladeCenter JS20 Cluster, PPC 970, 2.2 GHz, Myrinet",Spain,2006,2408,14000,21190.4,0,0,0,Power,PowerPC 970,2200,IBM Cluster,BladeCenter JS20 CLuster,SuSE Linux Enterprise Server 9,Cluster,Academic,Not Specified,Myrinet,Myrinet,Southern Europe,Europe
211,Financial Institution (U),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 2.33GHz, GigEthernet",United Kingdom,2007,2768,13904.1,25797.8,0,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
212,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",Sweden,2008,2044,13893.6,24528,0,0,227.68,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
213,Semiconductor Company (P),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.83 GHz, GigEthernet",United States,2008,2184,13872.6,24722.9,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Hardware,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
214,Semiconductor Company (P),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.83 GHz, GigEthernet",United States,2008,2184,13872.6,24722.9,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Hardware,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
215,IT Service Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.33 GHz, GigEthernet",United States,2008,2760,13871,25723,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
216,Semiconductor Company (P),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 51xx 2.66GHz, GigEthernet",United States,2007,2324,13793.2,24727.4,0,0,0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Hardware,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
217,UCSD/San Diego Supercomputer Center,IBM,eServer Blue Gene Solution,United States,2006,6144,13780,17203.2,0,0,67.2,Power,PowerPC 440,700,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Academic,Not Specified,Proprietary,Proprietary,North America,Americas
218,IT Service Provider (B),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2008,2016,13729,24192,0,0,224.56,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
219,WETA Digital,Hewlett-Packard,Cluster Platform 3000 BL2x220,New Zealand,2008,2496,13710.2,24960,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,Media,Gigabit Ethernet,Gigabit Ethernet,Australia and New Zealand,Oceania
220,WETA Digital,Hewlett-Packard,Cluster Platform 3000 BL2x220,New Zealand,2008,2496,13710.2,24960,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,Media,Gigabit Ethernet,Gigabit Ethernet,Australia and New Zealand,Oceania
221,WETA Digital,Hewlett-Packard,Cluster Platform 3000 BL2x220,New Zealand,2008,2496,13710.2,24960,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,Media,Gigabit Ethernet,Gigabit Ethernet,Australia and New Zealand,Oceania
222,WETA Digital,Hewlett-Packard,Cluster Platform 3000 BL2x220,New Zealand,2008,2496,13710.2,24960,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,Media,Gigabit Ethernet,Gigabit Ethernet,Australia and New Zealand,Oceania
223,Semiconductor Company,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 51xx 3.0GHz, GigEthernet",Taiwan,2007,2000,13682,24000,0,0,0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Hardware,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
224,IT Service Provider (B),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2008,2008,13681.8,24096,0,0,223.67,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
225,Omniture,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.66GHz, GigEthernet",United States,2008,2304,13680,24579.1,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
226,Telecommunication Company,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.66GHz, GigEthernet",Italy,2008,2304,13680,24579.1,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Southern Europe,Europe
227,Roshydromet,SGI,"SGI Altix ICE 8200, Xeon quad core 2.83 GHz",Russia,2008,1416,13680,16029,567760,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Research,Weather and Climate Research,Infiniband,Infiniband DDR,Eastern Europe,Europe
228,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2764,13640,33168,0,0,263.58,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
229,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2764,13640,33168,0,0,263.58,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
230,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2764,13640,33168,0,0,263.58,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
231,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2764,13640,33168,0,0,263.58,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
232,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2764,13640,33168,0,0,263.58,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
