Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
361,Stanford University/Biomedical Computational Facility,Dell,"PowerEdge 1950, 2.33 GHz, Infiniband",United States,2007,2208,15570,20578,730000,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,Dell PowerEdge Cluster,PowerEdge 1950,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband DDR,North America,Americas
362,PGS,IBM,"xSeries x3550 Cluster Xeon QC HT, 2.66 GHz, GigEthernet",Brazil,2008,2960,15538.5,31565.4,0,0,165.8,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,IBM Cluster,xSeries x3550 Cluster Xeon quad core HT,Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,South America,Americas
363,Semiconductor Company (M),Hewlett-Packard,"Cluster Platform 4000 BL465c, Opteron DC 2.6GHz, Infiniband",United States,2008,3876,15519.5,20155.2,0,0,0,AMD x86_64,AMD x86_64 Opteron Dual Core,2600,HP Cluster Platform 4000BL,Cluster Platform 4000 BL465c,Linux,Cluster,Industry,Semiconductor,Infiniband,Infiniband DDR,North America,Americas
364,NOAA R&D/ National Centers for Environmental Prediction,IBM,eServer pSeries p5 575 1.9 GHz,United States,2006,2368,15470,17996.8,0,0,386.58,Power,POWER5+,1900,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,SP Switch,Federation,North America,Americas
365,NOAA R&D/ National Centers for Environmental Prediction,IBM,eServer pSeries p5 575 1.9 GHz,United States,2006,2368,15470,17996.8,0,0,386.58,Power,POWER5+,1900,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,SP Switch,Federation,North America,Americas
366,IT Services Provider (C),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 2.33GHz, GigEthernet",United States,2007,3080,15410.3,28705.6,0,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
367,Web Content Provider (W),Hewlett-Packard,"Cluster Platform 3000 BL2x220, L54xx 2.33 Ghz, GigE",United States,2008,3072,15370.7,28631,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
368,Kaiser,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2 GHz, GigEthernet",United States,2008,3584,15363.4,28672,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
369,Ufa State Aviation Technical University,IBM,"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband",Russia,2007,2128,15328.5,19858.5,0,0,85.52,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,IBM Cluster,"BladeCenter HS21 Cluster, CT Xeon quad core",Linux,Cluster,Academic,Aerospace,Infiniband,Infiniband,Eastern Europe,Europe
370,US Army Research Laboratory (ARL),Cray Inc.,Cray XT5 QC 2.3 GHz,United States,2008,2016,15318.9,18547.2,0,0,93.24,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Cray XT,Cray XT5 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
371,Nasza Klasa,Hewlett-Packard,"Cluster Platform 3000 BL460c/BL2x220, L54xx 2.5 Ghz, GigE",Poland,2008,2848,15302.4,28480,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c/BL 2x220,Linux,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe
372,Vestas Wind Systems A/S,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 52xx 3.33 GHz, Infiniband",Denmark,2008,1344,15290,17902,537600,0,0,Intel EM64T,Intel EM64T Xeon 52xx (Wolfdale),3330,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Energy,Infiniband,Infiniband DDR,Northern Europe,Europe
373,Geoscience (Q),IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, GigEthernet",France,2008,3120,15271.9,35318.4,0,0,122.96,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
374,Financial Services (H),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3.0 GHz, GigEthernet",United States,2008,3152,15267.5,37824,0,0,253.34,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
375,Semiconductor Company (O),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United Kingdom,2008,2280,15252.7,27360,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
376,Bank (S1),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 2.33GHz, GigEthernet",Spain,2008,3040,15212.4,28332.8,0,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Southern Europe,Europe
377,US Army Research Laboratory (ARL),Linux Networx,Evolocity II (LS Supersystem),United States,2006,3368,15200,19660,0,0,0,Intel EM64T,Intel EM64T Xeon 50xx (Dempsy),3200,Linux Networx Evolocity,Evolocity II (LS Supersystem),SuSE Linux Enterprise Server 9,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas
378,Financial Services (N),IBM,"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet",United States,2008,3152,15160,33625.5,0,0,294.08,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
379,Kyushu University,Fujitsu,"PRIMERGY RX200S3, Xeon Dual Core 3.0 GHz, Infiniband",Japan,2007,1536,15090,18432,500000,95000,0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,PRIMERGY,PRIMERGY,Redhat Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia
380,Zeta Ass.,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2008,2248,15071.4,26976,0,0,250.41,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
381,Financial Institution (),IBM,"xSeries x3550 Cluster Xeon QC, 2.333 GHz, GigEthernet",United States,2008,3168,15026,29563.8,0,0,174.65,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,IBM Cluster,xSeries x3550 Cluster Xeon quad core CT,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
382,Financial Institution (),IBM,"xSeries x3550 Cluster Xeon QC, 2.333 GHz, GigEthernet",United States,2008,3168,15026,29563.8,0,0,174.65,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,IBM Cluster,xSeries x3550 Cluster Xeon quad core CT,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
383,Telecommunication Company,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",Japan,2008,2232,14980.4,26784,0,0,248.62,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
384,Automotive Manufacturer,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 52xx 3 GHz, GigEthernet",Japan,2008,2216,14942.3,26592,0,0,0,Intel EM64T,Intel EM64T Xeon 52xx (Wolfdale),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Automotive,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
385,Financial Services (O),IBM,"BladeCenter HS21 Cluster, Xeon quad core 2.66 GHz, Infiniband",United Kingdom,2008,1792,14910,19066,588672,294336,72.02,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,IBM Cluster,"BladeCenter HS21 Cluster, CT Xeon quad core",Linux,Cluster,Industry,Finance,Infiniband,Infiniband,Northern Europe,Europe
386,Telecommunication Company,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.66GHz, GigEthernet",China,2008,2560,14895.5,27238.4,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
387,IT Service Provider (C),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 2.33GHz, GigEthernet",United States,2008,2976,14895,27736,0,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
388,DLR - CASE,Sun Microsystems,"Sun Blade x4200, Opteron DC 3.0 GHz, Infiniband",Germany,2008,3072,14859,18432,840000,0,0,AMD x86_64,AMD x86_64 Opteron Dual Core,3000,Sun Blade System,Sun Blade x4200,Linux,Cluster,Research,Aerospace,Infiniband,Infinband DDR 4x,Western Europe,Europe
389,Financial Institution (),IBM,"BladeCenter HS21 Cluster, Xeon QC 2.33 GHz, GigEthernet",France,2008,3120,14857.2,29115.8,0,0,297.5,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,IBM Cluster,"BladeCenter HS21 Cluster, CT Xeon quad core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
390,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.83 GHz, GigEthernet",United States,2008,2368,14854.2,26805.8,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
391,Financial DCCoD (B),IBM,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet",United Kingdom,2008,6000,14775,26400,0,0,369,AMD x86_64,AMD x86_64 Opteron Dual Core,2200,IBM Cluster,BladeCenter LS20 CLuster,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
392,Network Company,IBM,"xSeries x3550 Cluster Xeon QC HT, 2.5 GHz, GigEthernet",China,2008,3200,14721.3,32000,0,0,177.22,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2500,IBM Cluster,xSeries x3550 Cluster Xeon quad core HT,Linux,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
393,Taganrog Institute of Technology / Hewlett Packard,Hewlett-Packard,"Cluster Platform 4000 BL685c, Opteron QC 2.3GHz, Infiniband",United Kingdom,2008,2048,14677.6,18841.6,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,HP Cluster Platform 4000BL,Cluster Platform 4000 BL685c,Linux,Cluster,Research,Research,Infiniband,Infinband DDR 4x,Northern Europe,Europe
394,Adam Opel AG,IBM,"Power 575, p6 4.7 GHz, Infiniband",Germany,2008,960,14668.8,18048,0,0,153.43,Power,POWER6,4700,IBM pSeries,pSeries 575,AIX,MPP,Industry,Automotive,Infiniband,Infiniband,Western Europe,Europe
395,Centro Euro-Mediterraneo per i Cambiamenti Climatici,IBM,"Power 575, p6 4.7 GHz, Infiniband",Italy,2008,960,14668.8,18048,0,0,153.43,Power,POWER6,4700,IBM pSeries,pSeries 575,AIX,MPP,Research,Weather and Climate Research,Infiniband,Infiniband,Southern Europe,Europe
396,Japan Marine Science and Technology,SGI,Altix 4700 1.6 GHz,Japan,2006,2560,14593,16384,483800,0,0,Intel IA-64,Intel IA-64 Itanium 2 Dual Core,1600,SGI Altix,SGI Altix 4700,SUSE Linux,MPP,Research,Not Specified,NUMAlink,NUMAlink,Eastern Asia,Asia
397,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2944,14528.3,35328,0,0,280.74,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
398,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2944,14528.3,35328,0,0,280.74,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
399,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2944,14528.3,35328,0,0,280.74,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
400,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2944,14528.3,35328,0,0,280.74,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
401,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2944,14528.3,35328,0,0,280.74,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
402,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2944,14528.3,35328,0,0,280.74,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
403,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2944,14528.3,35328,0,0,280.74,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
404,Geoscience (P),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",United States,2008,2944,14528.3,35328,0,0,280.74,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Geophysics,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
405,Naval Research Laboratory (NRL),SGI,"SGI Altix ICE 8200, 3.0 GHz",United States,2007,1536,14520,18432,0,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),3000,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
406,IT Service Provider (B),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 51xx 3.0GHz, Infiniband",United States,2007,1568,14488.3,18816,0,0,0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Infiniband,Infiniband DDR,North America,Americas
407,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 2.66GHz, GigEthernet",United States,2007,2472,14471.3,26302.1,0,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
408,IT Service Provider (),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.33 GHz, GigEthernet",France,2008,2872,14380,26767,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
409,Information Agency,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 2.33GHz, GigEthernet",France,2008,2864,14341,26692,0,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Media,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
410,Kaiser Foundation,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2 GHz, GigEthernet",United States,2008,3336,14313.5,26688,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
411,Financial Institution (M),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon E54xx 2.4GHz, GigEthernet",United States,2008,2760,14288.4,26496,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2400,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
412,Web Services,IBM,"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet",United States,2008,2888,14252,30809.2,0,0,269.45,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
413,Cerner Corp.,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.66GHz, GigEthernet",United States,2008,2408,14247.5,25688.5,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
414,Swiss Scientific Computing Center (CSCS),Cray Inc.,"Cray XT3, 2.6 GHz dual Core",Switzerland,2006,3328,14220,17305.6,0,0,0,AMD x86_64,AMD x86_64 Opteron Dual Core,2600,Cray XT,Cray XT3,UNICOS/Linux,MPP,Research,Not Specified,Cray Interconnect,XT3 Internal Interconnect,Western Europe,Europe
415,Banking (M),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet",United States,2008,2880,14212.5,26876.2,0,0,231.49,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2333,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
416,Banking (M),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet",United States,2008,2880,14212.5,26876.2,0,0,231.49,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2333,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
417,Banking (M),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet",United States,2008,2880,14212.5,26876.2,0,0,231.49,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2333,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
418,Banking (M),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet",United States,2008,2880,14212.5,26876.2,0,0,231.49,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2333,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
419,Banking (M),IBM,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet",United States,2008,2880,14212.5,26876.2,0,0,231.49,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2333,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
420,Financial Institution (Q),IBM,"BladeCenter LS21, Opteron Dual Core 2.2 GHz, GigEthernet, Windows",France,2008,6400,14184,28160,840000,0,416.45,AMD x86_64,AMD x86_64 Opteron Dual Core,2200,IBM Cluster,BladeCenter LS21 CLuster,Windows Compute Cluster Server 2003,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
421,Semiconductor Company (P),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 51xx 2.66GHz, GigEthernet",United States,2007,2400,14170.7,25536,0,0,0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Hardware,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
422,Software Company (M),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon L54xx 2.33 GHz, GigEthernet",United States,2008,2816,14103.3,26245.1,0,0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Software,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
423,Lockheed,IBM,"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband",United States,2008,1952,14078.3,18216.1,0,0,78.45,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,IBM Cluster,"BladeCenter HS21 Cluster, CT Xeon quad core",Linux,Cluster,Industry,Aerospace,Infiniband,Infiniband,North America,Americas
424,DOE/NNSA/LANL,IBM,"xSeries x3755 Cluster Opteron dual core 2.2 GHz, Infiniband",United States,2007,4608,14070,20275.2,0,0,518.4,AMD x86_64,AMD x86_64 Opteron Dual Core,2200,IBM Cluster,xSeries x3755 Cluster Opteron,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
425,DOE/NNSA/LANL,IBM,"xSeries x3755 Cluster Opteron dual core 2.2 GHz, Infiniband",United States,2007,4608,14070,20275.2,0,0,518.4,AMD x86_64,AMD x86_64 Opteron Dual Core,2200,IBM Cluster,xSeries x3755 Cluster Opteron,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
426,DOE/NNSA/LANL,IBM,"xSeries x3755 Cluster Opteron dual core 2.2 GHz, Infiniband",United States,2007,4608,14070,20275.2,0,0,518.4,AMD x86_64,AMD x86_64 Opteron Dual Core,2200,IBM Cluster,xSeries x3755 Cluster Opteron,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
427,Centro de Supercomp. de Galicia,Hewlett-Packard,Integrity rx5670 Itanium2 Cluster,Spain,2008,2528,14010,16179,0,0,0,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,HP Cluster Platform 6000,Integrity rx5670 Itanium2 Cluster,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband DDR,Southern Europe,Europe
428,Research Agency,Hewlett-Packard,"BL460c, Xeon E54xx 2.83 GHz, GigEthernet",India,2008,2208,14002.3,24994.6,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Research,Gigabit Ethernet,Gigabit Ethernet,South-central Asia,Asia
429,Repsol YPF,IBM,"BladeCenter QS22 Cluster, PowerXCell 8i 3.2 Ghz, Infiniband",United States,2008,1800,13990,21760,309759,104063,26.38,Power,PowerXCell 8i,3200,IBM Cluster,BladeCenter QS22 Cluster,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
430,Repsol YPF,IBM,"BladeCenter QS22 Cluster, PowerXCell 8i 3.2 Ghz, Infiniband",United States,2008,1800,13990,21760,309759,104063,26.38,Power,PowerXCell 8i,3200,IBM Cluster,BladeCenter QS22 Cluster,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
431,Repsol YPF,IBM,"BladeCenter QS22 Cluster, PowerXCell 8i 3.2 Ghz, Infiniband",United States,2008,1800,13990,21760,309759,104063,26.38,Power,PowerXCell 8i,3200,IBM Cluster,BladeCenter QS22 Cluster,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas
432,Vyatsky State University,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 2.33GHz, Infiniband",Russia,2008,1920,13957.6,17894.4,0,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Academic,Research,Infiniband,Infiniband DDR,Eastern Europe,Europe
433,Cray Inc.,Cray Inc.,Cray XT4 QuadCore 2.2 GHz,United States,2008,1984,13936.5,17459.2,0,0,98.21,AMD x86_64,AMD x86_64 Opteron Quad Core,2200,Cray XT,Cray XT4 QuadCore,UNICOS,MPP,Vendor,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
434,IT Service Provider (D),Hewlett-Packard,"Cluster Platform 4000 BL465c, Opteron QC 2.3GHz, GigE",United States,2008,2816,13921.7,25907.2,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,HP Cluster Platform 4000BL,Cluster Platform 4000 BL465c,Linux,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
435,IT Service Provider (D),Hewlett-Packard,"Cluster Platform 4000 BL465c, Opteron QC 2.3GHz, GigE",United States,2008,2816,13921.7,25907.2,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,HP Cluster Platform 4000BL,Cluster Platform 4000 BL465c,Linux,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
