green500_rank,Rmax,total_power,Mflops/Watt,How?,Year,Computer,Total Cores,Name,Manufacturer,top500_rank,Site,Country,RPeak,Segment,Accelerator/Co-Processor Cores,Nmax,Architecture,Processor,Processor_Family,Proc_Frequency,OS,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
253,168091,646.2,260.1222532,Derived,2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",11488,,Hewlett-Packard,259,Electrionic Industry,Sweden,238950,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,Northern Europe,Europe
254,186782,718.2,260.0696185,Derived,2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",12768,,Hewlett-Packard,229,IT Services Provider ,Japan,265574,Others,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,Eastern Asia,Asia
255,192302,740.7,259.6219792,Derived,2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet",13168,,Hewlett-Packard,207,IT Service Provider,United States,273894,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
256,192522,741.6,259.6035599,Derived,2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet",13184,,Hewlett-Packard,206,IT Service Provider,United States,274227,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
257,197801,763.2,259.173218,Derived,2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",13568,,Hewlett-Packard,202,IT Services Provider ,United States,282214,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
258,143219,552.6,259.1730004,Derived,2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",9824,,Hewlett-Packard,346,IT Services Provider ,United States,204339,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
259,261631,1030,254.0106796,Submission,2009,"xSeries iDataPlex, Xeon E5540 4C 2.53GHz, Infiniband",30912,GPC,IBM,148,SciNet/University of Toronto/Compute Canada,Canada,312829.44,Research,0,2526944,Cluster,Xeon E5540 4C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),xSeries iDataPlex,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
260,263060.4,1036.8,253.7233796,Derived,2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",18432,,Hewlett-Packard,147,IT Service Provider (C),Canada,383386,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
261,263165,1037.25,253.714148,Derived,2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",18440,,Hewlett-Packard,146,IT Service Provider (D),United States,383552,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
262,276419.3,1094.4,252.5761148,Derived,2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",19456,,Hewlett-Packard,135,Service Provider,United States,404685,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
263,190947,756,252.5753968,Derived,2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",13440,,Hewlett-Packard,213,Service Provider,United States,279552,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
264,130480,516.6,252.5745257,Derived,2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",9184,,Hewlett-Packard,410,Service Provider,United States,191027,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
265,130480,516.6,252.5745257,Derived,2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",9184,,Hewlett-Packard,411,Service Provider,United States,191027,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
266,279738,1108.8,252.288961,Derived,2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",19712,,Hewlett-Packard,132,IT Service Provider (B),United States,410010,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
267,319560.4,1267.2,252.178346,Derived,2011,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, NVIDIA 2090",16896,Keeneland,Hewlett-Packard,105,Georgia Institute of Technology,United States,614539.2,Research,12672,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,NVIDIA 2090,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
268,126500,502.25,251.8666003,Derived,2010,"Raytheon/Aspen Cluster, Xeon X5560/X5650 2.8/2.66 Ghz, QDR Infinband",13732,Jet,Raytheon/Aspen Systems,442,NOAA/Earth Science Research Laboratory/GSD,United States,148116,Research,0,1664080,Cluster,Xeon X5550 4C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),Raytheon/Aspen Systems Cluster,NOW - Intel,Infiniband,Infiniband QDR,North America,Americas
269,160816,639.225,251.5796472,Derived,2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2640 6C 2.500GHz, 10G Ethernet",11364,,Hewlett-Packard,278,IT Services,Netherlands,227280,Industry,0,0,Cluster,Xeon E5-2640 6C 2.500GHz,Intel SandyBridge,2500,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,Western Europe,Europe
270,121928,484.65,251.5794904,Derived,2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2640 6C 2.500GHz, 10G Ethernet",8616,,Hewlett-Packard,473,IT Service Provider (D),United States,172320,Industry,0,0,Cluster,Xeon E5-2640 6C 2.500GHz,Intel SandyBridge,2500,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
271,124475,494.775,251.5790006,Derived,2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2640 6C 2.500GHz, 10G Ethernet",8796,,Hewlett-Packard,465,Financial Services (H),United States,175920,Industry,0,0,Cluster,Xeon E5-2640 6C 2.500GHz,Intel SandyBridge,2500,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
272,130928,520.425,251.5789979,Derived,2013,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2640 6C 2.500GHz, 10G Ethernet",9252,,Hewlett-Packard,405,Financial Services (H),United States,185040,Industry,0,0,Cluster,Xeon E5-2640 6C 2.500GHz,Intel SandyBridge,2500,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
273,125737,502.58,250.1830554,Submission,2012,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.660GHz, Infiniband",13284,,IBM,456,Electronics,United States,141342,Industry,0,0,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Infiniband,Infiniband,North America,Americas
274,125737,502.58,250.1830554,Submission,2012,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.660GHz, Infiniband",13284,,IBM,457,Electronics,United States,141342,Industry,0,0,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Infiniband,Infiniband,North America,Americas
275,125737,502.58,250.1830554,Submission,2012,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.660GHz, Infiniband",13284,,IBM,458,Electronics,United States,141342,Industry,0,0,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Infiniband,Infiniband,North America,Americas
276,151300,604.8,250.1653439,Derived,2012,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",8064,Faenov,Hewlett-Packard,309,Microsoft Windows Azure,United States,167731,Industry,0,2515968,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Windows Azure,Windows,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
277,339500,1382.4,245.5873843,Derived,2013,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",18432,,SGI,97,Air Force Research Laboratory,United States,383386,Government,0,2049600,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,SUSE Linux Enterprise Server 11,Linux,None,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas
278,282600,1152,245.3125,Derived,2013,"Cluster Platform SL230s Gen8, Intel Xeon E5-2670v2  10C 2.500GHz, Infiniband FDR",15360,,Hewlett-Packard,130,Indian Institute of Technology - Kanpur,India,307200,Academic,0,0,Cluster,Intel Xeon E5-2670v2  10C 2.500GHz,Intel IvyBridge,2500,Linux,Linux,None,10,Intel Xeon E5 (IvyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,South-central Asia,Asia
279,166700,688.94,241.9659187,Derived,2010,"Dell Xanadu 3 Cluster, Xeon X5660 2.8 Ghz, QLogic InfiniBand QDR",21756,Sierra,Dell,263,Lawrence Livermore National Laboratory,United States,243667,Research,0,1973166,Cluster,Xeon X5660 6C 2.800GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Dell Xanadu 3 Cluster,Dell Xanadu,Infiniband,Infiniband QDR,North America,Americas
280,152347.9,633.6,240.4480745,Derived,2012,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.60GHz, Infiniband FDR",8448,,Hewlett-Packard,306,VSC / Flemish Supercomputer Center,Belgium,175718,Academic,0,1503761,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,Western Europe,Europe
281,160300,673.92,237.8620608,Derived,2013,"Itautec Cluster, Xeon E5-2643 4C 3.300GHz, Infiniband FDR, NVIDIA 2075",10368,Grifo06,Itautec,279,Petr—leo Brasileiro S.A,Brazil,357466,Industry,8064,1470000,Cluster,Xeon E5-2643 4C 3.300GHz,Intel SandyBridge,3300,CentOS,Linux,NVIDIA 2075,4,Intel Xeon E5 (SandyBridge),Itautec Cluster,Itautec Cluster,Infiniband,Infiniband FDR,South America,Americas
282,163900,690,237.5362319,Derived,2012,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",9200,,Hewlett-Packard,267,CSC (Center for Scientific Computing),Finland,191360,Academic,0,1548288,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,Northern Europe,Europe
283,125413,532,235.7387218,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",22256,,IBM,461,Internet Service,China,462925,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
284,125413,532,235.7387218,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",22256,,IBM,462,Internet Service,China,462925,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
285,141281.39,600,235.4689833,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",25072,,IBM,352,Internet Service,China,521498,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
286,234232,994.8,235.4563731,Derived,2013,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",13264,,Hewlett-Packard,172,Manufacturing Company,United States,275891,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
287,250619,1064.4,235.4556558,Derived,2013,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",14192,,Hewlett-Packard,157,IT Provider (P),United States,295194,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
288,250619,1064.4,235.4556558,Derived,2013,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",14192,,Hewlett-Packard,158,IT Provider (P),United States,295194,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
289,147682.78,627.35,235.4073165,Submission,2013,"xSeries x3550M3 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",26208,,IBM,321,Engineering Company,China,545126.4,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3550M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
290,147682.78,627.35,235.4073165,Submission,2013,"xSeries x3550M3 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",26208,,IBM,322,Engineering Company,China,545126.4,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3550M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
291,147682.78,627.35,235.4073165,Submission,2013,"xSeries x3550M3 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",26208,,IBM,323,Engineering Company,China,545126.4,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3550M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
292,147682.78,627.35,235.4073165,Submission,2013,"xSeries x3550M3 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",26208,,IBM,324,Engineering Company,China,545126.4,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3550M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
293,135601.28,576.03,235.4066281,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",24064,,IBM,377,Banking (M),United States,500531,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
294,145248,617.01,235.4062333,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",25776,,IBM,333,Electronics,China,536141,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
295,145248,617.01,235.4062333,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",25776,,IBM,334,Electronics,China,536141,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
296,145248,617.01,235.4062333,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",25776,,IBM,335,Electronics,China,536141,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
297,162288.77,689.4,235.4058167,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",28800,,IBM,270,Engineering Company,China,599040,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
298,152912.09,649.57,235.4050988,Submission,2012,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",27136,,IBM,302,Engineering Company,China,564428.8,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
299,152010.48,645.74,235.4050856,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2680 8C 2.700GHz, Gigabit Ethernet",26976,,IBM,308,Service Provider,China,582682,Industry,0,0,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
300,137314,583.31,235.4048448,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",24368,,IBM,370,Internet Service,China,506854,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
301,137314,583.31,235.4048448,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",24368,,IBM,371,Internet Service,China,506854,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
302,137314,583.31,235.4048448,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",24368,,IBM,372,Internet Service,China,506854,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
303,143265,608.59,235.4047881,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",25424,,IBM,339,Internet Service,China,528819,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
304,143265,608.59,235.4047881,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",25424,,IBM,340,Internet Service,China,528819,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
305,143265,608.59,235.4047881,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",25424,,IBM,341,Internet Service,China,528819,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
306,143265,608.59,235.4047881,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",25424,,IBM,342,Internet Service,China,528819,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
307,143265,608.59,235.4047881,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",25424,,IBM,343,Internet Service,China,528819,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
308,143265,608.59,235.4047881,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",25424,,IBM,344,Internet Service,China,528819,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
309,143265,608.59,235.4047881,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",25424,,IBM,345,Internet Service,China,528819,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
310,134248.88,570.29,235.4045836,Submission,2013,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",23824,,IBM,383,Telecommunication Company,China,495539,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),xSeries x3650M4 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
311,124962,530.84,235.4042649,Submission,2013,"BladeCenter HS23 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",22176,,IBM,464,Communications,United States,461261,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),BladeCenter HS23 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
312,144323,614.4,234.9007161,Derived,2013,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",8192,,Hewlett-Packard,337,IT Service Provider,Germany,170394,Industry,0,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,Western Europe,Europe
