"","date","ExaRank","exascalar","top500rank","green500rank.g","rmax.g","power.g","mflopswatt.g","how.g","year.g","name.g","totalcores.g","computer.g","site.g","manufacturer.g","country.g","segment.g","acceleratorcoprocessorcores.g","rpeak.g","nmax.g","nhalf.g","architecture.g","processor.g","processorfamily.g","procfrequency.g","oatingsystem.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax.t","rpeak.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t","rmax","mflopswatt"
"13",2015-06-01,11,-2.664,13,30,3577000,1498.9,2386.416706,"Top500",2015,"",72800,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40","Government","Cray Inc.","United States","Government",62400,6131840,2336000,0,"Cluster","Intel Xeon E5-2660v2 10C 2.2GHz","Intel IvyBridge",2200,"Linux","Linux","Nvidia K40",10,"Intel Xeon E5 (IvyBridge)","Cray CS-Storm","Cray CS-Storm","Infiniband","Infiniband FDR","North America","Americas",NA,45,13,"","Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40","Government","Cray Inc.","United States",2015,"Government",72800,62400,3577000,6131840,2336000,0,1499,2386,"Cluster","Intel Xeon E5-2660v2 10C 2.2GHz","Intel IvyBridge",2200,"Linux","Linux","Nvidia K40",10,"Intel Xeon E5 (IvyBridge)","Cray CS-Storm","Cray CS-Storm","Infiniband","Infiniband FDR","North America","Americas",3577000,2386.416706
"14",2015-06-01,12,-2.664,14,31,3577000,1498.9,2386.416706,"Top500",2014,"",72800,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40","Government","Cray Inc.","United States","Government",62400,6131840,2336000,0,"Cluster","Intel Xeon E5-2660v2 10C 2.2GHz","Intel IvyBridge",2200,"Linux","Linux","Nvidia K40",10,"Intel Xeon E5 (IvyBridge)","Cray CS-Storm","Cray CS-Storm","Infiniband","Infiniband FDR","North America","Americas",10,44,10,"","Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40","Government","Cray Inc.","United States",2014,"Government",72800,62400,3577000,6131840,2336000,0,1499,2386,"Cluster","Intel Xeon E5-2660v2 10C 2.2GHz","Intel IvyBridge",2200,"Linux","Linux","Nvidia K40",10,"Intel Xeon E5 (IvyBridge)","Cray CS-Storm","Cray CS-Storm","Infiniband","Infiniband FDR","North America","Americas",3577000,2386.416706
"17",2015-06-01,13,-2.673,17,24,3188000,1227,2598.207009,"Submission",2014,"HPC2",72000,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x","Exploration & Production - Eni S.p.A.","IBM","Italy","Industry",42000,4605000,3978240,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","NVIDIA K20x",10,"Intel Xeon E5 (IvyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Southern Europe","Europe",12,43,11,"HPC2","iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x","Exploration & Production - Eni S.p.A.","IBM","Italy",2014,"Industry",72000,42000,3188000,4605000,3978240,0,1227,2598,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","NVIDIA K20x",10,"Intel Xeon E5 (IvyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Southern Europe","Europe",3188000,2598.207009
"22",2015-06-01,14,-2.676,22,17,2739000,927.86,2951.953959,"Submission",2013,"TSUBAME 2.5",76032,"Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x","GSIC Center, Tokyo Institute of Technology","NEC/HP","Japan","Academic",59136,5735685.12,1700000,0,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"SUSE Linux Enterprise Server 11","Linux","NVIDIA K20x",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform SL390s G7","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Eastern Asia","Asia",15,42,11,"TSUBAME 2.5","Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x","GSIC Center, Tokyo Institute of Technology","NEC/HP","Japan",2013,"Academic",76032,59136,2785000,5735685,1700000,0,1399,1991,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"SUSE Linux Enterprise Server 11","Linux","NVIDIA K20x",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform SL390s G7","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Eastern Asia","Asia",2785000,2951.953959
"8",2015-06-01,15,-2.776,8,134,5168110,4510,1145.922395,"Top500",2012,"Stampede",462462,"PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P","Texas Advanced Computing Center/Univ. of Texas","Dell","United States","Academic",366366,8520111.6,3875000,0,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","Intel Xeon Phi SE10P",8,"Intel Xeon E5 (SandyBridge)","PowerEdge C8220","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","North America","Americas",7,40,7,"Stampede","PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P","Texas Advanced Computing Center/Univ. of Texas","Dell","United States",2012,"Academic",462462,366366,5168110,8520112,3875000,0,4510,1146,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","Intel Xeon Phi SE10P",8,"Intel Xeon E5 (SandyBridge)","PowerEdge C8220","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","North America","Americas",5168110,1145.922395
"21",2015-06-01,16,-2.808,21,85,2813620,1480.83,1900.029038,"Top500",2015,"SuperMUC Phase 2",86016,"IBM NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14","Leibniz Rechenzentrum","Lenovo/IBM","Germany","Academic",0,3578266,4423680,0,"Cluster","Xeon E5-2697v3 14C 2.6GHz","Intel Haswell",2600,"Linux","Linux","None",14,"Intel Xeon E5 (Haswell)","IBM NeXtScale nx360M5","IBM NeXtScale","Infiniband","Infiniband FDR14","Western Europe","Europe",NA,45,21,"SuperMUC Phase 2","IBM NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14","Leibniz Rechenzentrum","Lenovo/IBM","Germany",2015,"Academic",86016,0,2813620,3578266,4423680,0,1481,1900,"Cluster","Xeon E5-2697v3 14C 2.6GHz","Intel Haswell",2600,"Linux","Linux","None",14,"Intel Xeon E5 (Haswell)","IBM NeXtScale nx360M5","IBM NeXtScale","Infiniband","Infiniband FDR14","Western Europe","Europe",2813620,1900.029038
"23",2015-06-01,17,-2.825,23,93,2763000,1512,1827.380952,"Top500",2014,"Hornet",94608,"Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnect ","HLRS - H","Cray Inc.","Germany","Research",0,3784320,7468032,0,"Cluster","Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"Cray Linux Environment ","Linux","None",12,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe",16,44,16,"Hornet","Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnect ","HLRS - Höchstleistungsrechenzentrum Stuttgart","Cray Inc.","Germany",2014,"Research",94608,0,2763000,3784320,7468032,0,1512,1827,"Cluster","Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"Cray Linux Environment ","Linux","None",12,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe",2763000,1827.380952
"11",2015-06-01,18,-2.832,11,130,4089430,3380,1209.890533,"Top500",2011,"Pleiades",185344,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3  2.6/2.8/2.5 GHz, Infiniband FDR","NASA/Ames Research Center/NAS","SGI","United States","Research",0,4970910,5459520,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"SUSE Linux Enterprise Server 11","Linux","None",10,"Intel Xeon E5 (IvyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","North America","Americas",11,37,7,"Pleiades","SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3  2.6/2.8/2.5 GHz, Infiniband FDR","NASA/Ames Research Center/NAS","SGI","United States",2011,"Research",185344,0,4089430,4970910,5459520,0,3380,1210,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"SUSE Linux Enterprise Server 11","Linux","None",10,"Intel Xeon E5 (IvyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","North America","Americas",4089430,1209.890533
"25",2015-06-01,19,-2.85,25,91,2539130,1384,1834.631503,"Top500",2013,"cascade",194616,"Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P","DOE/SC/Pacific Northwest National Laboratory","Atipa Technology","United States","Research",171720,3388032,4032000,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","Intel Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","Atipa Visione IF442 Blade Server","Atipa Cluster","Infiniband","Infiniband FDR","North America","Americas",18,42,13,"cascade","Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P","DOE/SC/Pacific Northwest National Laboratory","Atipa Technology","United States",2013,"Research",194616,171720,2539130,3388032,4032000,0,1384,1835,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","Intel Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","Atipa Visione IF442 Blade Server","Atipa Cluster","Infiniband","Infiniband FDR","North America","Americas",2539130,1834.631503
"27",2015-06-01,20,-2.858,27,80,2376000,1244.16,1909.722222,"Derived",2015,"Plasma Simulator",82944,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx  32C 1.98GHz, Tofu interconnect 2","National Institute for Fusion Science (NIFS)","Fujitsu","Japan","Research",0,2621030,2860416,0,"Cluster","SPARC64 XIfx  32C 1.98GHz","Sparc",1975,"Linux","Linux","None",32,"SPARC64 XIfx","Fujitsu PRIMEHPC FX100","Fujitsu PRIMEHPC","Proprietary Network","Tofu interconnect 2","Eastern Asia","Asia",NA,45,27,"Plasma Simulator","Fujitsu PRIMEHPC FX100, SPARC64 XIfx  32C 1.98GHz, Tofu interconnect 2","National Institute for Fusion Science (NIFS)","Fujitsu","Japan",2015,"Research",82944,0,2376000,2621030,2860416,0,NA,NA,"Cluster","SPARC64 XIfx  32C 1.98GHz","Sparc",1975,"Linux","Linux","None",32,"SPARC64 XIfx","Fujitsu PRIMEHPC FX100","Fujitsu PRIMEHPC","Proprietary Network","Tofu interconnect 2","Eastern Asia","Asia",2376000,1909.722222
"28",2015-06-01,21,-2.863,28,73,2249680,1134,1983.844797,"Top500",2015,"Makman-2",76032,"Dell PowerEdge R630, Xeon E5-2680v3 12C 2.5GHz, Infiniband QDR","Saudi Aramco","Dell","Saudi Arabia","Industry",0,3041280,4460544,0,"Cluster","Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"Redhat Enterprise Linux 6.5","Linux","None",12,"Intel Xeon E5 (Haswell)","Dell PowerEdge R630","Dell PowerEdge Cluster","Infiniband","Infiniband QDR","Western Asia","Asia",NA,45,28,"Makman-2","Dell PowerEdge R630, Xeon E5-2680v3 12C 2.5GHz, Infiniband QDR","Saudi Aramco","Dell","Saudi Arabia",2015,"Industry",76032,0,2249680,3041280,4460544,0,1134,1984,"Cluster","Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"Redhat Enterprise Linux 6.5","Linux","None",12,"Intel Xeon E5 (Haswell)","Dell PowerEdge R630","Dell PowerEdge Cluster","Infiniband","Infiniband QDR","Western Asia","Asia",2249680,1983.844797
"30",2015-06-01,22,-2.874,30,68,2071390,997,2077.622869,"Top500",2014,"Tianhe-2 LvLiang Solution",174720,"Tianhe-2 LvLiang, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Intel Xeon Phi 31S1P","LvLiang Cloud Computing Center","NUDT","China","Industry",153216,3074534.4,2366976,0,"Cluster","Intel Xeon E5-2692v2 12C 2.2GHz","Intel IvyBridge",2200,"Kylin Linux","Linux","Intel Xeon Phi 31S1P",12,"Intel Xeon E5 (IvyBridge)","Tianhe-2 LvLiang","Tianhe-2 LvLiang","Custom Interconnect","TH Express-2","Eastern Asia","Asia",21,44,21,"Tianhe-2 LvLiang Solution","Tianhe-2 LvLiang, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Intel Xeon Phi 31S1P","LvLiang Cloud Computing Center","NUDT","China",2014,"Industry",174720,153216,2071390,3074534,2366976,0,997,2078,"Cluster","Intel Xeon E5-2692v2 12C 2.2GHz","Intel IvyBridge",2200,"Kylin Linux","Linux","Intel Xeon Phi 31S1P",12,"Intel Xeon E5 (IvyBridge)","Tianhe-2 LvLiang","Tianhe-2 LvLiang","Custom Interconnect","TH Express-2","Eastern Asia","Asia",2071390,2077.622869
"26",2015-06-01,23,-2.881,26,103,2485000,1465.78125,1695.341648,"Derived",2014,"Excalibur",100064,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC)","Cray Inc.","United States","Government",0,3682355.2,6441408,0,"Cluster","Xeon E5-2698v3 16C 2.3GHz","Intel Haswell",2300,"Cray Linux Environment ","Linux","None",16,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","North America","Americas",19,44,19,"Excalibur","Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC)","Cray Inc.","United States",2014,"Government",100064,0,2485000,3682355,6441408,0,NA,NA,"Cluster","Xeon E5-2698v3 16C 2.3GHz","Intel Haswell",2300,"Cray Linux Environment ","Linux","None",16,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","North America","Americas",2485000,1695.341648
"32",2015-06-01,24,-2.905,32,60,1788878,821.88,2176.568355,"Submission",2012,"Fermi",163840,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","CINECA","IBM","Italy","Academic",0,2097152,0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Southern Europe","Europe",23,39,7,"Fermi","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","CINECA","IBM","Italy",2012,"Academic",163840,0,1788878,2097152,0,0,822,2177,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Southern Europe","Europe",1788878,2176.568355
"87",2015-06-01,25,-2.964,87,6,781300,190,4112.105263,"Submission",2015,"XStream",14820,"Cray CS-Storm, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, Nvidia K80","Stanford Research Computing Center","Cray Inc.","United States","Academic",13520,1001692,1207296,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","Nvidia K80",10,"Intel Xeon E5 (IvyBridge)","Cray CS-Storm","Cray CS-Storm","Infiniband","Infiniband FDR","North America","Americas",NA,45,87,"XStream","Cray CS-Storm, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, Nvidia K80","Stanford Research Computing Center","Cray Inc.","United States",2015,"Academic",14820,13520,781300,1001692,1207296,0,NA,NA,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","Nvidia K80",10,"Intel Xeon E5 (IvyBridge)","Cray CS-Storm","Cray CS-Storm","Infiniband","Infiniband FDR","North America","Americas",781300,4112.105263
