"","date","ExaRank","exascalar","top500rank","green500rank.g","rmax.g","power.g","how.g","mflopswatt","totalcores.g","year.g","name.g","manufacturer.g","computer.g","site.g","country.g","segment.g","acceleratorcoprocessorcores.g","rpeak.g","efficiency.g","nmax.g","architecture.g","processor.g","processortechnology.g","processorspeedmhz.g","oatingsystem.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax","rpeak.t","efficiency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"219",2013-06-01,224,-4.262,219,195,160300,548.25,"Derived",292.3848609,10368,2013,"Grifo06","Itautec","Itautec Cluster, Xeon E5-2643 4C 3.300GHz, Infiniband FDR, NVIDIA 2075","Petróleo Brasileiro S.A","Brazil","Industry",8064,357466,44.84,1470000,"Cluster","Xeon E5-2643 4C 3.300GHz","Intel SandyBridge",3300,"CentOS","Linux","NVIDIA 2075",4,"Intel Xeon E5 (SandyBridge)","Itautec Cluster","Itautec Cluster","Infiniband","Infiniband FDR","South America","Americas",NA,41,219,"Grifo06","Itautec Cluster, Xeon E5-2643 4C 3.300GHz, Infiniband FDR, NVIDIA 2075","Petr√≥leo Brasileiro S.A","Itautec","Brazil",2013,"Industry",10368,8064,160300,357466,45,1470000,0,NA,NA,"Cluster","Xeon E5-2643 4C 3.300GHz","Intel SandyBridge",3300,"CentOS","Linux","NVIDIA 2075",4,"Intel Xeon E5 (SandyBridge)","Itautec Cluster","Itautec Cluster","Infiniband","Infiniband FDR","South America","Americas"
"245",2013-06-01,225,-4.263,245,189,149185,475.2,"Derived",313.9414983,8448,2013,"","Hewlett-Packard","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Manufacturing Company","India","Industry",0,175718,84.9,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Infiniband","Infiniband FDR","South-central Asia","Asia",NA,41,245,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Manufacturing Company","Hewlett-Packard","India",2013,"Industry",8448,0,149185,175718,85,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Infiniband","Infiniband FDR","South-central Asia","Asia"
"359",2013-06-01,226,-4.274,359,173,119310,315,"Submission",378.7619048,40960,2008,"","IBM","Blue Gene/P Solution","IDRIS","France","Academic",0,139264,85.67,0,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","Western Europe","Europe",225,31,10,"","Blue Gene/P Solution","IDRIS","IBM","France",2008,"Academic",40960,0,119310,139264,86,0,0,315,379,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","Western Europe","Europe"
"200",2013-06-01,227,-4.275,200,229,172448,660.15,"Derived",261.2254791,11736,2013,"","Hewlett-Packard","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","IT Service Provider (B)","United States","Industry",0,244109,70.64,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",NA,41,200,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","IT Service Provider (B)","Hewlett-Packard","United States",2013,"Industry",11736,0,172448,244109,71,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas"
"136",2013-06-01,228,-4.278,136,345,231662,1204.8,"Derived",192.2825365,16064,2013,"","Hewlett-Packard","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Web-Service Provider","United States","Industry",0,334131,69.33,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas",NA,41,136,"","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Web-Service Provider","Hewlett-Packard","United States",2013,"Industry",16064,0,231662,334131,69,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas"
"162",2013-06-01,229,-4.281,162,295,191400,831,"Top500",230.3249097,17072,2009,"","Fujitsu","BX900 Xeon X5570 2.93GHz , Infiniband QDR","Japan Atomic Energy Agency (JAEA)","Japan","Research",0,200080,95.66,2401344,"Cluster","Xeon X5570 4C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","Fujitsu Cluster","Fujitsu Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia",124,35,22,"","BX900 Xeon X5570 2.93GHz , Infiniband QDR","Japan Atomic Energy Agency (JAEA)","Fujitsu","Japan",2009,"Research",17072,0,191400,200080,96,2401344,0,831,230,"Cluster","Xeon X5570 4C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","Fujitsu Cluster","Fujitsu Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"206",2013-06-01,230,-4.284,206,233,168091,646.2,"Derived",260.1222532,11488,2013,"","Hewlett-Packard","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Electrionic Industry","Sweden","Industry",0,238950,70.35,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","Northern Europe","Europe",NA,41,206,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Electrionic Industry","Hewlett-Packard","Sweden",2013,"Industry",11488,0,168091,238950,70,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","Northern Europe","Europe"
"61",2013-06-01,231,-4.287,61,456,433500,4343.73,"Derived",99.79902066,42440,2010,"Red Sky","Sun Microsystems","Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband","Sandia National Laboratories / National Renewable Energy Laboratory","United States","Research",0,497396,87.15,2504421,"Cluster","Xeon X5570 4C 2.930GHz","Intel Nehalem",2930,"CentOS","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","Sun Blade x6275","Sun Blade System","Infiniband","Infiniband","North America","Americas",49,35,10,"Red Sky","Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband","Sandia National Laboratories / National Renewable Energy Laboratory","Sun Microsystems","United States",2010,"Research",42440,0,433500,497396,87,2504421,0,NA,NA,"Cluster","Xeon X5570 4C 2.930GHz","Intel Nehalem",2930,"CentOS","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","Sun Blade x6275","Sun Blade System","Infiniband","Infiniband","North America","Americas"
"223",2013-06-01,232,-4.288,223,202,157961,578.7,"Derived",272.9583549,10288,2013,"","Hewlett-Packard","Cluster Platform 3000 BL460c Gen8, Xeon E5-2680 8C 2.700GHz, 10G Ethernet","Financial Service Provider","United States","Industry",0,222221,71.08,0,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",NA,41,223,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2680 8C 2.700GHz, 10G Ethernet","Financial Service Provider","Hewlett-Packard","United States",2013,"Industry",10288,0,157961,222221,71,0,0,NA,NA,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas"
"86",2013-06-01,233,-4.293,86,419,322900,2456.4,"Derived",131.4525322,27600,2011,"Zeus","SGI","SGI Altix ICE 8400EX, Xeon X5690 6C 3.470GHz, Infiniband QDR","NOAA Environmental Security Computer Center","United States","Research",0,382648.32,84.39,2322432,"MPP","Xeon X5690 6C 3.470GHz","Intel Nehalem",3470,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","SGI ICE 8400EX","SGI Altix","Infiniband","Infiniband QDR","North America","Americas",74,38,71,"Zeus","SGI Altix ICE 8400EX, Xeon X5690 6C 3.470GHz, Infiniband QDR","NOAA Environmental Security Computer Center","SGI","United States",2011,"Research",27600,0,322900,382648,84,2322432,0,NA,NA,"MPP","Xeon X5690 6C 3.470GHz","Intel Nehalem",3470,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","SGI ICE 8400EX","SGI Altix","Infiniband","Infiniband QDR","North America","Americas"
"232",2013-06-01,234,-4.295,232,212,155527,573.3,"Submission",271.2837956,27600,2013,"","IBM","xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","Banking (M)","United States","Industry",0,574080,27.09,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",NA,41,232,"","xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","Banking (M)","IBM","United States",2013,"Industry",27600,0,155527,574080,27,0,0,573,271,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","xSeries x3650M4 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"345",2013-06-01,235,-4.298,345,183,121600,354.6,"Top500",342.9216018,5632,2011,"","Hitachi","Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom","Information Initiative Center, Hokkaido University","Japan","Academic",0,168906.8,71.99,1400000,"Cluster","POWER7 8C 3.836GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Hitachi SR16000 Model M1","Hitachi SR16000","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia",219,38,95,"","Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom","Information Initiative Center, Hokkaido University","Hitachi","Japan",2011,"Academic",5632,0,121600,168907,72,1400000,0,355,343,"Cluster","POWER7 8C 3.836GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Hitachi SR16000 Model M1","Hitachi SR16000","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia"
"143",2013-06-01,236,-4.302,143,353,217890,1152,"Derived",189.140625,15360,2012,"","Hewlett-Packard","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Energy Company","United States","Industry",0,319488,68.2,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas",112,40,112,"","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Energy Company","Hewlett-Packard","United States",2012,"Industry",15360,0,217890,319488,68,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas"
"165",2013-06-01,237,-4.302,165,316,189651,872.1,"Derived",217.4647403,15504,2013,"","Hewlett-Packard","Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet","IT Service Provider","United States","Industry",0,272870,69.5,0,"Cluster","Xeon E5-2660 8C 2.200GHz","Intel SandyBridge",2200,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",NA,41,165,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States",2013,"Industry",15504,0,189651,272870,70,0,0,NA,NA,"Cluster","Xeon E5-2660 8C 2.200GHz","Intel SandyBridge",2200,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas"
"229",2013-06-01,238,-4.302,229,226,156853,597.6,"Derived",262.4715529,10624,2013,"","Hewlett-Packard","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Manufacturing Company","United States","Industry",0,220979,70.98,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",NA,41,229,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Manufacturing Company","Hewlett-Packard","United States",2013,"Industry",10624,0,156853,220979,71,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas"
"172",2013-06-01,239,-4.303,172,315,188738,867.6,"Derived",217.5403412,15424,2013,"","Hewlett-Packard","Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet","Telecommunication Company","United States","Industry",0,271462,69.53,0,"Cluster","Xeon E5-2660 8C 2.200GHz","Intel SandyBridge",2200,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",NA,41,172,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet","Telecommunication Company","Hewlett-Packard","United States",2013,"Industry",15424,0,188738,271462,70,0,0,NA,NA,"Cluster","Xeon E5-2660 8C 2.200GHz","Intel SandyBridge",2200,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas"
"131",2013-06-01,240,-4.305,131,389,237200,1380.07173,"Derived",171.8751242,36384,2011,"Lindgren","Cray Inc.","Cray XE6, Opteron 12 Core 2.10 GHz, Custom","KTH - Royal Institute of Technology","Sweden","Academic",0,305625.6,77.61,0,"MPP","Opteron 6172 12C 2.100GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 6100-series ""Magny-Cours""","Cray XE6","Cray XE","Custom Interconnect","Custom Interconnect","Northern Europe","Europe",105,37,31,"Lindgren","Cray XE6, Opteron 12 Core 2.10 GHz, Custom","KTH - Royal Institute of Technology","Cray Inc.","Sweden",2011,"Academic",36384,0,237200,305626,78,0,0,NA,NA,"MPP","Opteron 6172 12C 2.100GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 6100-series ""Magny-Cours"" ","Cray XE6","Cray XE","Custom Interconnect","Custom Interconnect","Northern Europe","Europe"
"218",2013-06-01,241,-4.308,218,245,160816,639.225,"Derived",251.5796472,11364,2013,"","Hewlett-Packard","Cluster Platform 3000 BL460c Gen8, Xeon E5-2640 6C 2.500GHz, 10G Ethernet","IT Services","Netherlands","Industry",0,227280,70.76,0,"Cluster","Xeon E5-2640 6C 2.500GHz","Intel SandyBridge",2500,"Linux","Linux","None",6,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","Western Europe","Europe",NA,41,218,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2640 6C 2.500GHz, 10G Ethernet","IT Services","Hewlett-Packard","Netherlands",2013,"Industry",11364,0,160816,227280,71,0,0,NA,NA,"Cluster","Xeon E5-2640 6C 2.500GHz","Intel SandyBridge",2500,"Linux","Linux","None",6,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","Western Europe","Europe"
"207",2013-06-01,242,-4.309,207,256,166700,688.94,"Derived",241.9659187,21756,2010,"Sierra","Dell","Dell Xanadu 3 Cluster, Xeon X5660 2.8 Ghz, QLogic InfiniBand QDR","Lawrence Livermore National Laboratory","United States","Research",0,243667,68.41,1973166,"Cluster","Xeon X5660 6C 2.800GHz","Intel Nehalem",2800,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Dell Xanadu 3 Cluster","Dell Xanadu","Infiniband","Infiniband QDR","North America","Americas",150,36,40,"Sierra","Dell Xanadu 3 Cluster, Xeon X5660 2.8 Ghz, QLogic InfiniBand QDR","Lawrence Livermore National Laboratory","Dell","United States",2010,"Research",21756,0,166700,243667,68,1973166,0,NA,NA,"Cluster","Xeon X5660 6C 2.800GHz","Intel Nehalem",2800,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Dell Xanadu 3 Cluster","Dell Xanadu","Infiniband","Infiniband QDR","North America","Americas"
"210",2013-06-01,243,-4.319,210,259,163900,690,"Derived",237.5362319,9200,2012,"","Hewlett-Packard","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","CSC (Center for Scientific Computing)","Finland","Academic",0,191360,85.65,1548288,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","Northern Europe","Europe",167,40,167,"","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","CSC (Center for Scientific Computing)","Hewlett-Packard","Finland",2012,"Academic",9200,0,163900,191360,86,1548288,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband FDR","Northern Europe","Europe"
"338",2013-06-01,244,-4.321,338,188,123335.7,392.4,"Derived",314.3111621,6976,2012,"","Hewlett-Packard","Cluster Platform 3000 BL460c/SL250/ML350 Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Volvo Car Group","Sweden","Industry",0,145101,85,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Infiniband","Infiniband QDR","Northern Europe","Europe",215,40,215,"","Cluster Platform 3000 BL460c/SL250/ML350 Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Volvo Car Group","Hewlett-Packard","Sweden",2012,"Industry",6976,0,123336,145101,85,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Infiniband","Infiniband QDR","Northern Europe","Europe"
"395",2013-06-01,245,-4.323,395,182,110526,317.7,"Derived",347.8942398,9760,2012,"Aurora","Eurotech","Eurotech Aurora, Xeon X5690 6C 3.470GHz, Infiniband QDR, NVIDIA 2090","E-Security - Selex Elsag","Italy","Industry",2560,206336,53.57,467040,"Cluster","Xeon X5690 6C 3.470GHz","Intel Nehalem",3470,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","Eurotech Aurora","Eurotech Cluster","Infiniband","Infiniband QDR","Southern Europe","Europe",252,39,161,"Aurora","Eurotech Aurora, Xeon X5690 6C 3.470GHz, Infiniband QDR, NVIDIA 2090","E-Security - Selex Elsag","Eurotech","Italy",2012,"Industry",9760,2560,110526,206336,54,467040,0,NA,NA,"Cluster","Xeon X5690 6C 3.470GHz","Intel Nehalem",3470,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","Eurotech Aurora","Eurotech Cluster","Infiniband","Infiniband QDR","Southern Europe","Europe"
"183",2013-06-01,246,-4.324,183,320,184018,883.6343179,"Derived",208.2513052,23296,2010,"","Cray Inc.","Cray XE6, Opteron 16C 2.500GHz, Cray Gemini interconnect","ERDC DSRC","United States","Research",0,232960,78.99,0,"MPP","Opteron 16C 2.500GHz","AMD x86_64",2500,"Linux","Linux","None",16,"Opteron 6200 Series ""Interlagos""","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","North America","Americas",130,36,83,"","Cray XE6, Opteron 16C 2.500GHz, Cray Gemini interconnect","ERDC DSRC","Cray Inc.","United States",2010,"Research",23296,0,184018,232960,79,0,0,NA,NA,"MPP","Opteron 16C 2.500GHz","AMD x86_64",2500,"Linux","Linux","None",16,"Opteron 6200 Series ""Interlagos""","Cray XE6","Cray XE","Cray Interconnect","Cray Gemini interconnect","North America","Americas"
"154",2013-06-01,247,-4.325,154,354,202456,1070.4,"Derived",189.1405082,14272,2012,"","Hewlett-Packard","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Energy Company (D)","United States","Industry",0,296858,68.2,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas",122,40,122,"","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Energy Company (D)","Hewlett-Packard","United States",2012,"Industry",14272,0,202456,296858,68,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas"
"119",2013-06-01,248,-4.327,119,397,251800,1670.78,"Derived",150.7080525,22656,2011,"Lonestar 4","Dell","Dell PowerEdge M610 Cluster, Xeon 5680 3.3Ghz, Infiniband QDR","Texas Advanced Computing Center/Univ. of Texas","United States","Academic",0,301777,83.44,2128224,"Cluster","Xeon X5680 6C 3.330GHz","Intel Nehalem",3330,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","PowerEdge M610 Cluster","Dell PowerEdge Cluster","Infiniband","Infiniband QDR","North America","Americas",96,37,28,"Lonestar 4","Dell PowerEdge M610 Cluster, Xeon 5680 3.3Ghz, Infiniband QDR","Texas Advanced Computing Center/Univ. of Texas","Dell","United States",2011,"Academic",22656,0,251800,301777,83,2128224,0,NA,NA,"Cluster","Xeon X5680 6C 3.330GHz","Intel Nehalem",3330,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","PowerEdge M610 Cluster","Dell PowerEdge Cluster","Infiniband","Infiniband QDR","North America","Americas"
"241",2013-06-01,249,-4.328,241,251,151300,604.8,"Derived",250.1653439,8064,2012,"Faenov","Hewlett-Packard","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Microsoft Windows Azure","United States","Industry",0,167731,90.2,2515968,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Windows Azure","Windows","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","North America","Americas",165,40,165,"Faenov","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Microsoft Windows Azure","Hewlett-Packard","United States",2012,"Industry",8064,0,151300,167731,90,2515968,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Windows Azure","Windows","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","North America","Americas"
"256",2013-06-01,250,-4.329,256,227,143624,547.2,"Derived",262.4707602,9728,2013,"","Hewlett-Packard","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Manufacturing Company","United States","Industry",0,202342,70.98,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",NA,41,256,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","Manufacturing Company","Hewlett-Packard","United States",2013,"Industry",9728,0,143624,202342,71,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas"
"267",2013-06-01,251,-4.329,267,220,141894.9,533.7,"Derived",265.8701518,9488,2012,"","Hewlett-Packard","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet","IT Service Provider","United States","Industry",0,197350,71.9,0,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas",173,39,124,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United States",2012,"Industry",9488,0,141895,197350,72,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","10G","10G Ethernet","North America","Americas"
