"","date","ExaRank","exascalar","top500rank","green500rank.g","site.g","manufacturer.g","name.g","computer.g","country.g","mflopswatt","power.g","cores.g","rmax.g","rpeak.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax","rpeak.t","efficiency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"190",2012-11-01,276,-4.463,190,312,"Internet Service","IBM","","xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.7706327,707.25,23316,131386.28,235958,133,37,60,"","HP ProLiant SL390s G7 Xeon 6C X5650, Infiniband","Energy Company (A)","Hewlett-Packard","Italy",2011,"Industry",15360,0,131200,163430,80,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform SL390s G7","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Southern Europe","Europe"
"223",2012-11-01,277,-4.468,223,273,"Network Company","Hewlett-Packard","","Cluster Platform 3000 BL460c Gen8, Xeon E5-2680 8C 2.700GHz, Gigabit Ethernet","United States",200.3408521,598.5,10640,119904,229824,NA,40,223,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2680 8C 2.700GHz, Gigabit Ethernet","Network Company","Hewlett-Packard","United States",2012,"Industry",10640,0,119904,229824,52,0,0,NA,NA,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"224",2012-11-01,278,-4.468,224,272,"Network Company","Hewlett-Packard","","Cluster Platform 3000 BL460c Gen8, Xeon E5-2680 8C 2.700GHz, Gigabit Ethernet","United States",200.3408521,598.5,10640,119904,229824,NA,40,224,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2680 8C 2.700GHz, Gigabit Ethernet","Network Company","Hewlett-Packard","United States",2012,"Industry",10640,0,119904,229824,52,0,0,NA,NA,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"280",2012-11-01,279,-4.473,280,247,"Lawrence Livermore National Laboratory","Dell","Muir","Dell Xanadu 3 Cluster, Xeon X5660 2.8 Ghz, QLogic InfiniBand QDR","United States",222.9473684,475,15000,105900,168000,174,36,67,"Muir","Dell Xanadu 3 Cluster, Xeon X5660 2.8 Ghz, QLogic InfiniBand QDR","Lawrence Livermore National Laboratory","Dell","United States",2010,"Research",15000,0,105900,168000,63,1476000,0,NA,NA,"Cluster","Xeon X5660 6C 2.800GHz","Intel Nehalem",2800,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Dell Xanadu 3 Cluster","Dell Xanadu","Infiniband","Infiniband QDR","North America","Americas"
"208",2012-11-01,280,-4.476,208,333,"University of Chicago","Cray Inc.","","Cray XE6 12-core 2.1 GHz","United States",185.7100679,677.4,17856,125800,149990,140,36,54,"","Cray XE6 12-core 2.1 GHz","University of Chicago","Cray Inc.","United States",2010,"Academic",17856,0,125800,149990,84,0,0,NA,NA,"MPP","Opteron 6172 12C 2.100GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 6100-series ""Magny-Cours"" ","Cray XE6","Cray XE","Custom Interconnect","Custom Interconnect","North America","Americas"
"481",2012-11-01,281,-4.476,481,190,"Electronics","IBM","","xSeries x3550M3 Cluster, Xeon X5650 6C 2.66 GHz, Infiniband QDR","United States",305.3325368,251.1,8100,76669,86184,317,39,317,"","xSeries x3550M3 Cluster, Xeon X5650 6C 2.66 GHz, Infiniband QDR","Electronics","IBM","United States",2012,"Industry",8100,0,76669,86184,89,0,0,251,305,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","xSeries x3550M3 Cluster","IBM xSeries","Infiniband","Infiniband QDR","North America","Americas"
"482",2012-11-01,282,-4.476,482,189,"Electronics","IBM","","xSeries x3550M3 Cluster, Xeon X5650 6C 2.66 GHz, Infiniband QDR","United States",305.3325368,251.1,8100,76669,86184,319,38,189,"Orcinus","Cluster Platform 3000 BL 2x220, Xeon X5650/E5450 4C 3.00 GHz, Infiniband QDR","Compute Canada/WestGrid/University of British Columbia","Hewlett-Packard","Canada",2011,"Academic",9600,0,76658,106322,72,0,0,NA,NA,"Cluster","Xeon E5450 4C 3.000GHz","Intel Core",3000,"Linux","Linux","None",4,"Xeon 5400-series ""Harpertown""","Cluster Platform 3000 BL 2x220","HP Cluster Platform 3000BL","Infiniband","Infiniband QDR","North America","Americas"
"366",2012-11-01,283,-4.481,366,214,"Idaho National Laboratory","Appro International","Fission","Appro Xtreme-X3 Opteron 2.4GHz, Infiniband QDR","United States",252.8611111,360,12512,91030,120115.2,226,38,139,"","Sunway 4000H Cluster, Xeon X56xx (Westmere-EP) 3.06 GHz, Infiniband QDR","Government","National Research Center of Parallel Computer Engineering & Technology","China",2011,"Research",8400,0,90850,102816,88,1612800,0,NA,NA,"Cluster","Xeon X5675 6C 3.060GHz","Intel Nehalem",3060,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Sunway 4000H Cluster","Sunway Cluster","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"106",2012-11-01,284,-4.482,106,416,"Cyfronet","Hewlett-Packard","Zeus","Cluster Platform SL390/BL2x220, Xeon X5650 6C 2.660GHz, Infiniband QDR, NVIDIA 2090","Poland",97.90406151,2393.2,23932,234304,357546.56,89,37,81,"Zeus","Cluster Platform SL390/BL2x220, Xeon X5650 6C 2.660GHz, Infiniband QDR, NVIDIA 2090","Cyfronet","Hewlett-Packard","Poland",2011,"Academic",23932,3328,234304,357547,66,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform SL390/BL2x220","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Eastern Europe","Europe"
"319",2012-11-01,285,-4.482,319,229,"Clemson University","Dell/Sun/IBM","Palmetto","PE1950/SF X2200/iDPx/IBM dx340/HP DL165 Intel 53xx/54xx 2.33, Opteron 2.3, E5410 2.33GHz Myrinet 10G","United States",237.2698786,408.48,13616,96920,123633,195,37,332,"","xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","Government","IBM","United States",2011,"Government",17160,0,96697,201115,48,0,0,546,177,"Cluster","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"297",2012-11-01,286,-4.483,297,244,"DOE/SC/Pacific Northwest National Laboratory","Atipa Technology","Olympus","Atipa Cluster, Opteron 6272 16C 2.100GHz, Infiniband QDR","United States",224.122807,456,19200,102200,161280,NA,40,297,"","xSeries x3650M3 Cluster, Xeon X5650 6C 2.660GHz, Infiniband","Defence","IBM","Australia",2012,"Government",10776,0,101998,114657,89,0,0,334,305,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Infiniband","Infiniband","Australia and New Zealand","Oceania"
"212",2012-11-01,287,-4.484,212,336,"Financial Institution","IBM","","xSeries x3650M3, Xeon X56xx 2.66 GHz, GigE","Japan",181.7751256,690.43,22272,125503,236974.08,141,37,162,"","xSeries x3650M3, Xeon X56xx 2.66 GHz, GigE","Financial Institution","IBM","Japan",2011,"Industry",22272,0,125503,236974,53,0,0,690,182,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"394",2012-11-01,288,-4.484,394,212,"Energy Company (A)","IBM","","BladeCenter HS22 Cluster, Xeon QC X55xx 2.66 GHz, Infiniband","Italy",260.6366698,335.48,10224,87438.39,109028.74,247,36,213,"","BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","Telecommunication Company","IBM","China",2010,"Industry",15504,0,87365,156900,56,0,0,490,178,"Cluster","Xeon E5540 4C 2.530GHz","Intel Nehalem",2530,"Linux","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"159",2012-11-01,289,-4.489,159,384,"IT Services Provider","Hewlett-Packard","","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","United States",142.4275362,1104,14720,157240,306176,NA,40,159,"","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","IT Services Provider ","Hewlett-Packard","United States",2012,"Industry",14720,0,157240,306176,51,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"160",2012-11-01,290,-4.489,160,383,"IT Services Provider","Hewlett-Packard","","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","United States",142.4275362,1104,14720,157240,306176,NA,40,160,"","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","IT Services Provider ","Hewlett-Packard","United States",2012,"Industry",14720,0,157240,306176,51,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"220",2012-11-01,291,-4.49,220,307,"Internet Service","IBM","","xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.7715802,648.28,21372,120432,216285,NA,40,220,"","xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","Internet Service","IBM","China",2012,"Industry",21372,0,120432,216285,56,0,0,648,186,"Cluster","Xeon E5649 6C 2.530GHz","Intel Nehalem",2530,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"247",2012-11-01,292,-4.49,247,275,"IT Services Provider","Hewlett-Packard","","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","United States",196.90625,576,7680,113418,159744,NA,40,247,"","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","IT Services Provider ","Hewlett-Packard","United States",2012,"Industry",7680,0,113418,159744,71,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Gigabit Ethernet","10G Ethernet","North America","Americas"
"248",2012-11-01,293,-4.49,248,274,"IT Services Provider","Hewlett-Packard","","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","United States",196.90625,576,7680,113418,159744,NA,40,248,"","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","IT Services Provider ","Hewlett-Packard","United States",2012,"Industry",7680,0,113418,159744,71,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","Gigabit Ethernet","10G Ethernet","North America","Americas"
"187",2012-11-01,294,-4.491,187,366,"Computational Research Laboratories, TATA SONS","Hewlett-Packard","EKA","Cluster Platform 3000 BL460c, Xeon X5365 4C 3.000GHz, Infiniband DDR","India",168.956743,786,14384,132800,172608,130,39,130,"Abisko","Supermicro H8QG6, Opteron 6238 12C 2.600GHz, Infiniband QDR","HPC2N - Umea University","Supermicro","Sweden",2012,"Academic",15456,0,131900,160742,82,2145024,338688,253,522,"Cluster","Opteron 6238 12C 2.600GHz","AMD x86_64",2600,"Linux","Linux","None",12,"Opteron 6200 Series ""Interlagos""","Supermicro H8QG6","Supermicro Cluster","Infiniband","Infiniband QDR","Northern Europe","Europe"
"241",2012-11-01,295,-4.491,241,286,"US Army Research Laboratory (ARL)","Cray Inc.","MRAP","Cray XT5 SixCore, Opteron Six Core 6C 2.600GHz, XT4 Internal Interconnect","United States",194.0108744,591.7194093,15600,114800,162240,158,39,158,"MRAP","Cray XT5 SixCore, Opteron Six Core 6C 2.600GHz, XT4 Internal Interconnect","US Army Research Laboratory (ARL)","Cray Inc.","United States",2012,"Research",15600,0,114800,162240,71,16662804,0,NA,NA,"MPP","Opteron Six Core 6C 2.600GHz","AMD x86_64",2600,"CNL","Linux","None",6,"Opteron Six Core","Cray XT5 SixCore","Cray XT","Proprietary Network","XT4 Internal Interconnect","North America","Americas"
"238",2012-11-01,296,-4.492,238,288,"IT Services Provider","Hewlett-Packard","","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","United States",192.9441931,596.7,10608,115129.8,220646,NA,40,238,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","IT Services Provider ","Hewlett-Packard","United States",2012,"Industry",10608,0,115130,220646,52,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"311",2012-11-01,297,-4.492,311,240,"Institute of Physical and Chemical Res. (RIKEN)","Fujitsu","","RIKEN Intergrated Cluster of Clusters, Xeon X5570 2.93GHz, Infiniband DDR","Japan",227.8840337,429.78,9048,97940,106042,191,37,90,"","Cluster Platform 3000 BL2x220, L56xx 2.26 Ghz, Infiniband","Government","Hewlett-Packard","Sweden",2011,"Government",17280,0,97500,156211,62,1700000,0,NA,NA,"Cluster","Xeon L5640 6C 2.260GHz","Intel Nehalem",2260,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL 2x220","HP Cluster Platform 3000BL","Infiniband","Infiniband","Northern Europe","Europe"
"305",2012-11-01,298,-4.495,305,248,"Network Company","IBM","","BladeCenter HS22 Cluster (WM), Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","China",220.930847,454.21,17808,100349,180216.96,NA,40,305,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, Gigabit Ethernet","Electrionic Industry","Hewlett-Packard","Sweden",2012,"Industry",10848,0,99530,190925,52,0,0,NA,NA,"Cluster","Xeon E5-2660 8C 2.200GHz","Intel SandyBridge",2200,"Linux","Linux","None",8,"Intel Xeon E5","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","Northern Europe","Europe"
"216",2012-11-01,299,-4.501,216,362,"System Integrator","IBM","","BladeCenter HS22 Cluster (WM), Xeon L5639 6C 2.130GHz, Infiniband","United States",175.7785418,698.1,23508,122711,200288,NA,40,216,"","BladeCenter HS22 Cluster (WM), Xeon L5639 6C 2.130GHz, Infiniband","System Integrator","IBM","United States",2012,"Industry",23508,0,122711,200288,61,0,0,698,176,"Cluster","Xeon L5639 6C 2.130GHz","Intel Nehalem",2130,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","BladeCenter HS22 Cluster (WM)","IBM BladeCenter","Infiniband","Infiniband","North America","Americas"
"347",2012-11-01,300,-4.504,347,234,"Tsinghua University","Inspur","","Inspur TS10000 HPC Server, Xeon X56xx 2.93 Ghz, QDR Infiniband","China",231.4202724,399.36,9216,92420,107299,212,39,212,"","BladeCenter HS22 Cluster (WM), Xeon X5650 6C 2.660GHz, Infiniband QDR","Lockheed Martin","IBM","United States",2012,"Industry",9756,0,92343,103804,89,0,0,261,354,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","BladeCenter HS22 Cluster (WM)","IBM BladeCenter","Infiniband","Infiniband QDR","North America","Americas"
"245",2012-11-01,301,-4.507,245,311,"Internet Service","IBM","","xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.7707187,612.61,20196,113805,204384,NA,40,245,"","xSeries x3650M3 Cluster, Xeon X5650 6C 2.660GHz, Gigabit Ethernet","Service Provider","IBM","China",2012,"Industry",20196,0,113805,214885,53,0,0,626,182,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"246",2012-11-01,302,-4.507,246,310,"Internet Service","IBM","","xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",185.7707187,612.61,20196,113805,204384,NA,40,246,"","xSeries x3650M3 Cluster, Xeon X5650 6C 2.660GHz, Gigabit Ethernet","Service Provider","IBM","China",2012,"Industry",20196,0,113805,214885,53,0,0,626,182,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"243",2012-11-01,303,-4.514,243,338,"Service Provider","IBM","","xSeries x3650M3 Cluster, Xeon X5650 6C 2.660GHz, Gigabit Ethernet","China",181.7738947,626.08,20196,113805,214885,NA,40,243,"","xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","Internet Service","IBM","China",2012,"Industry",20196,0,113805,204384,56,0,0,613,186,"Cluster","Xeon E5649 6C 2.530GHz","Intel Nehalem",2530,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"244",2012-11-01,304,-4.514,244,337,"Service Provider","IBM","","xSeries x3650M3 Cluster, Xeon X5650 6C 2.660GHz, Gigabit Ethernet","China",181.7738947,626.08,20196,113805,214885,NA,40,244,"","xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","Internet Service","IBM","China",2012,"Industry",20196,0,113805,204384,56,0,0,613,186,"Cluster","Xeon E5649 6C 2.530GHz","Intel Nehalem",2530,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"186",2012-11-01,305,-4.516,186,374,"New Mexico Computing Applications Center (NMCAC)","SGI","Encanto","SGI Altix ICE 8200, Xeon quad core 3.0 GHz","United States",154.7038328,861,14336,133200,172032,129,31,9,"EKA","Cluster Platform 3000 BL460c, Xeon X5365 4C 3.000GHz, Infiniband DDR","Computational Research Laboratories, TATA SONS","Hewlett-Packard","India",2008,"Industry",14384,0,132800,172608,77,1850000,250000,786,169,"Cluster","Xeon X5365 4C 3.000GHz","Intel Core",3000,"Linux","Linux","None",4,"Xeon 5300-series ""Clovertown""","Cluster Platform 3000 BL460c","HP Cluster Platform 3000BL","Infiniband","Infiniband DDR","South-central Asia","Asia"
"287",2012-11-01,306,-4.517,287,281,"Financial Services (H)","IBM","","iDataPlex DX360M3, Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","United States",196.0009362,534.06,18576,104676.26,187989.12,NA,40,287,"","Cluster Platform 3000 BL490c G7, Xeon X5670 6C 2.930GHz, Gigabit Ethernet","Logistic Services (C)","Hewlett-Packard","Germany",2012,"Industry",17538,0,104401,205545,51,0,0,NA,NA,"Cluster","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL490c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","Western Europe","Europe"
"273",2012-11-01,307,-4.519,273,296,"ERDC ORC","Cray Inc.","Copper","Cray XE6m-200, Opteron 6276 16C 2.300GHz, Cray Gemini interconnect","United States",189.5130359,568.0506329,14976,107653,137779,NA,40,273,"PLCI+PLCH","PowerEdge M610 Cluster, Xeon X5670 6C 2.930GHz, Infiniband QDR","Saudi Aramco","Dell","Saudi Arabia",2012,"Industry",12240,0,107200,143453,75,1565184,0,NA,NA,"Cluster","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","PowerEdge M610 Cluster","Dell PowerEdge Cluster","Infiniband","Infiniband QDR","Western Asia","Asia"
"349",2012-11-01,308,-4.521,349,252,"Universidad Nacional Autonoma de Mexico","Hewlett-Packard","","Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Mexico",219.0933048,421.2,5616,92282.1,116813,213,39,213,"","xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","Internet Service","IBM","China",2012,"Industry",16368,0,92234,165644,56,0,0,497,186,"Cluster","Xeon E5649 6C 2.530GHz","Intel Nehalem",2530,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","xSeries x3650 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"272",2012-11-01,309,-4.524,272,316,"Service Provider","IBM","","xSeries x3550M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","United States",185.7701075,583.49,19236,108395,194668,NA,40,272,"Copper","Cray XE6m-200, Opteron 6276 16C 2.300GHz, Cray Gemini interconnect","ERDC ORC","Cray Inc.","United States",2012,"Government",14976,0,107653,137779,78,0,0,NA,NA,"MPP","Opteron 6276 16C 2.300GHz","AMD x86_64",2300,"Cray Linux Environment ","Linux","None",16,"Opteron 6200 Series ""Interlagos""","Cray XE6m-200","Cray XE","Cray Interconnect","Cray Gemini interconnect","North America","Americas"
"289",2012-11-01,310,-4.524,289,291,"IT Services Provider (B)","Hewlett-Packard","","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","India",192.9425926,540,9600,104189,199680,NA,40,289,"","Cluster Platform 4000 BL685c G7, Opteron 6136 8C 2.400GHz, Gigabit Ethernet","Web Company (C)","Hewlett-Packard","China",2012,"Industry",21440,0,103721,205824,50,0,0,NA,NA,"Cluster","Opteron 6136 8C 2.400GHz","AMD x86_64",2400,"Linux","Linux","None",8,"Opteron 6100-series ""Magny-Cours"" ","Cluster Platform 4000 BL685c G7","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"324",2012-11-01,311,-4.527,324,267,"Banking (M)","IBM","","BladeCenter HX5, Xeon E7-2860 10C 2.260GHz, Gigabit Ethernet","United States",206.5113486,467.02,19160,96444.93,173206,198,39,198,"","Cluster Platform 4000 BL685c G7, Opteron 6136 8C 2.40 GHz, Gigabit Ethernet","Web Company (C)","Hewlett-Packard","China",2012,"Industry",19872,0,96007,190771,50,0,0,NA,NA,"Cluster","Opteron 6136 8C 2.400GHz","AMD x86_64",2400,"Linux","Linux","None",8,"Opteron 6100-series ""Magny-Cours"" ","Cluster Platform 4000 BL685c G7","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"381",2012-11-01,312,-4.529,381,249,"Banking (M)","IBM","","BladeCenter HS22 Cluster (WM), Xeon E5649 6C 2.530GHz, Gigabit Ethernet","United States",220.9271818,404.02,15840,89259,160301,NA,40,381,"","Cluster Platform 4000 BL465c G7, Opteron 6176 12C 2.300GHz, Gigabit Ethernet","Semiconductor Company (M)","Hewlett-Packard","United States",2012,"Industry",19200,0,89133,176640,50,0,0,NA,NA,"Cluster","Opteron 6176 12C 2.300GHz","AMD x86_64",2300,"Linux","Linux","None",12,"Opteron 6100-series ""Magny-Cours"" ","Cluster Platform 4000 BL465c G7","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"242",2012-11-01,313,-4.543,242,369,"Science and Technology Facilities Council - Rutherford Appleton Laboratory","Hewlett-Packard","EMERALD","Cluster Platform SL390s G7, Xeon E5649 6C 2.530GHz, Infiniband QDR, NVIDIA 2090","United Kingdom",164.3678161,696,6960,114400,257581,159,39,159,"EMERALD","Cluster Platform SL390s G7, Xeon E5649 6C 2.530GHz, Infiniband QDR, NVIDIA 2090","Science and Technology Facilities Council - Rutherford Appleton Laboratory","Hewlett-Packard","United Kingdom",2012,"Academic",6960,5952,114400,257581,44,494592,0,NA,NA,"Cluster","Xeon E5649 6C 2.530GHz","Intel Nehalem",2530,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform SL390s G7","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Northern Europe","Europe"
"363",2012-11-01,314,-4.546,363,269,"IBM Thomas J. Watson Research Center","IBM","BGW","eServer Blue Gene Solution","United States",203.7723214,448,40960,91290,114688,223,39,223,"","Cluster Platform 3000 BL460c G7, Xeon E5620 4C 2.40GHz, Gigabit Ethernet","Web Company (C)","Hewlett-Packard","China",2012,"Industry",18804,0,91233,180518,51,0,0,NA,NA,"Cluster","Xeon E5620 4C 2.400GHz","Intel Nehalem",2400,"Linux","Linux","None",4,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"328",2012-11-01,315,-4.549,328,289,"IT Services Provider","Hewlett-Packard","","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","United States",192.9434343,495,8800,95507,183040,201,31,14,"Frontier2 BG/L","Blue Gene/P Solution","EDF R&D","IBM","France",2008,"Industry",32768,0,95450,111411,86,0,0,252,379,"MPP","PowerPC 450 4C 850MHz","Power",850,"CNK/SLES 9","Mixed","None",4,"PowerPC 450","BlueGene/P","IBM BlueGene","Proprietary Network","Proprietary","Western Europe","Europe"
"334",2012-11-01,316,-4.549,334,280,"Telecommunication Company","IBM","","iDataPlex DX360M3, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","China",196.0027467,480.58,16716,94195,169166,205,39,205,"","iDataPlex DX360M3, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","Telecommunication Company","IBM","China",2012,"Industry",16716,0,94195,169166,56,0,0,481,196,"Cluster","Xeon E5649 6C 2.530GHz","Intel Nehalem",2530,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","iDataPlex DX360M3","IBM iDataPlex","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
