"","top500rank","green500rank.g","site.g","manufacturer.g","computer.g","country.g","mflopswatt.g","power.g","how.g","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcores.t","rmax.t","rpeak.t","effeciency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","accelerator.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"270",270,265,"Logistics","IBM","BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet","Germany",178.93,370.79,"Submission","","BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet","Logistics","IBM","Germany",2011,"Industry",11728,0,66345.23,118687.36,55.9,0,0,370.79,178.93,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","Western Europe","Europe"
"271",271,341,"Web Content Provider","Hewlett-Packard","HP DL160 Cluster G6, Xeon E5640 2.53 GHz, GigE","United States",139.72,474,"Derived","","HP DL160 Cluster G6, Xeon E5640 2.53 GHz, GigE","Web Content Provider","Hewlett-Packard","United States",2011,"Industry",12640,0,66225.1,127916.8,51.77,0,0,NA,NA,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","HP DL160 Cluster G6","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"272",272,479,"IT Service Provider","Hewlett-Packard","Cluster Platform 3000 BL460c G7, Xeon X5650 2.66 Ghz, GigE","United States",48.12,1375.67,"derived","","Cluster Platform 3000 BL460c G7, Xeon X5650 2.66 Ghz, GigE","IT Service Provider","Hewlett-Packard","United States",2011,"Industry",11988,0,66202.7,127552.3,51.9,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"273",273,434,"Government","Hewlett-Packard","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, 10G Ethernet","United States",68.15,969.44,"derived","","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, 10G Ethernet","Government","Hewlett-Packard","United States",2011,"Government",8448,0,66066.7,89887,73.5,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","10G Ethernet","North America","Americas"
"274",274,187,"Netwok Equipment Provider","IBM","BladeCenter HS22 Cluster (WM), Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Germany",210.94,312.56,"Submission","","BladeCenter HS22 Cluster (WM), Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Netwok Equipment Provider","IBM","Germany",2011,"Industry",11700,0,65930,124488,52.96,0,0,312.56,210.94,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","BladeCenter HS22 Cluster (WM)","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","Western Europe","Europe"
"275",275,483,"IT Service Provider","Hewlett-Packard","Cluster Platform 4000 BL685c G7, Opteron 12C 2.2 Ghz, GigE","United Kingdom",46.15,1426.49,"derived","","Cluster Platform 4000 BL685c G7, Opteron 12C 2.2 Ghz, GigE","IT Service Provider","Hewlett-Packard","United Kingdom",2011,"Industry",14556,0,65825.4,128092.8,51.39,0,0,NA,NA,"Cluster","Opteron 6174 12C 2.20GHz","AMD x86_64",2200,"Linux","Linux","None",12,"Opteron 12 Core","Cluster Platform 4000 BL685c G7","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","Northern Europe","Europe"
"276",276,98,"Classified","IBM","BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, Infiniband","United States",357.44,184.03,"Submission","","BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, Infiniband","Classified","IBM","United States",2011,"Classified",8496,0,65780,76803.84,85.65,0,0,184.03,357.44,"Cluster","Xeon L5520 4C 2.26GHz","Intel EM64T",2260,"Linux","Linux","None",4,"Xeon L55xx (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Infiniband","Infiniband","North America","Americas"
"277",277,367,"Carrillo Business Technologies, Inc","Hewlett-Packard","Cluster Platform 4000 BL465c G7, Opteron O6174 12C 2.20 GHz, Gigabit Ethernet","United States",120.6,545.4,"derived","","Cluster Platform 4000 BL465c G7, Opteron O6174 12C 2.20 GHz, Gigabit Ethernet","Carrillo Business Technologies, Inc","Hewlett-Packard","United States",2011,"Industry",14544,0,65774,127987.2,51.39,0,0,NA,NA,"Cluster","Opteron 6174 12C 2.20GHz","AMD x86_64",2200,"Linux","Linux","None",12,"Opteron 12 Core","Cluster Platform 4000 BL465c G7","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"278",278,245,"Financial Institution","IBM","xSeries x3650M3, Xeon X56xx 2.66 GHz, GigE","Japan",181.78,360.84,"Submission","","xSeries x3650M3, Xeon X56xx 2.66 GHz, GigE","Financial Institution","IBM","Japan",2011,"Industry",11640,0,65591.71,123849.6,52.96,0,0,360.84,181.78,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"279",279,437,"Gdansk University of Technology, CI Task","ACTION","ACTION Xeon HP BL2x220/BL490 E5345/L5640 Infiniband","Poland",61.57,1065.33,"derived","Galera Plus","ACTION Xeon HP BL2x220/BL490 E5345/L5640 Infiniband","Gdansk University of Technology, CI Task","ACTION","Poland",2011,"Academic",10384,0,65588,97758,67.09,998000,0,NA,NA,"Cluster","Xeon L5640 6C 2.26GHz","Intel EM64T",2260,"Linux","Linux","None",6,"Xeon L56xx (Westmere-EP)","ACTION Cluster","ACTION Cluster","Infiniband","Infiniband QDR","Eastern Europe","Europe"
"280",280,246,"Service Provider","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Japan",181.77,360.47,"Submission","","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Service Provider","IBM","Japan",2011,"Industry",11628,0,65524,123722,52.96,0,0,360.47,181.77,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"281",281,247,"Service Provider","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Japan",181.77,360.47,"Submission","","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Service Provider","IBM","Japan",2011,"Industry",11628,0,65524,123722,52.96,0,0,360.47,181.77,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"282",282,248,"Service Provider","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Japan",181.77,360.47,"Submission","","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Service Provider","IBM","Japan",2011,"Industry",11628,0,65524,123722,52.96,0,0,360.47,181.77,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"283",283,233,"Internet Service","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","China",185.77,351.99,"Submission","","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Internet Service","IBM","China",2011,"Industry",11604,0,65389,117432,55.68,0,0,351.99,185.77,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"284",284,5,"IBM Thomas J. Watson Research Center","IBM","NNSA/SC Blue Gene/Q Prototype 1","United States",1689.86,38.67,"Submission","","NNSA/SC Blue Gene/Q Prototype 1","IBM Thomas J. Watson Research Center","IBM","United States",2010,"Research",8192,0,65347,104857.6,62.32,434175,0,38.67,1689.86,"MPP","BQC 16C 1.60GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom","North America","Americas"
"285",285,423,"Gaming Company","Hewlett-Packard","Cluster Platform 3000 BL460c G7, Xeon X5660 6C 2.80 GHz, 10G Ethernet","Ireland",70.18,925.37,"derived","","Cluster Platform 3000 BL460c G7, Xeon X5660 6C 2.80 GHz, 10G Ethernet","Gaming Company","Hewlett-Packard","Ireland",2011,"Industry",8064,0,64938,90316.8,71.9,0,0,NA,NA,"Cluster","Xeon X5660 6C 2.80GHz","Intel Nehalem",2800,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","10G Ethernet","Northern Europe","Europe"
"286",286,424,"Gaming Company","Hewlett-Packard","Cluster Platform 3000 BL460c G7, Xeon X5660 6C 2.80 GHz, 10G Ethernet","Ireland",70.18,925.37,"derived","","Cluster Platform 3000 BL460c G7, Xeon X5660 6C 2.80 GHz, 10G Ethernet","Gaming Company","Hewlett-Packard","Ireland",2011,"Industry",8064,0,64938,90316.8,71.9,0,0,NA,NA,"Cluster","Xeon X5660 6C 2.80GHz","Intel Nehalem",2800,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","10G Ethernet","Northern Europe","Europe"
"287",287,425,"Gaming Company","Hewlett-Packard","Cluster Platform 3000 BL460c G7, Xeon X5660 6C 2.80 GHz, 10G Ethernet","Ireland",70.18,925.37,"derived","","Cluster Platform 3000 BL460c G7, Xeon X5660 6C 2.80 GHz, 10G Ethernet","Gaming Company","Hewlett-Packard","Ireland",2011,"Industry",8064,0,64938,90316.8,71.9,0,0,NA,NA,"Cluster","Xeon X5660 6C 2.80GHz","Intel Nehalem",2800,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","10G Ethernet","Northern Europe","Europe"
"288",288,132,"Defence","IBM","BladeCenter HX5, Xeon E7-4870 10C 2.40 GHz, Infiniband QDR","Australia",286.74,226.2,"Submission","","BladeCenter HX5, Xeon E7-4870 10C 2.40 GHz, Infiniband QDR","Defence","IBM","Australia",2011,"Government",9280,0,64860,89088,72.8,0,0,226.2,286.74,"Cluster","Xeon E7-4870 10C 2.40GHz","Intel EM64T",2400,"Linux","Linux","None",10,"Xeon E7-48xx (Westmere-EX)","BladeCenter HX5","IBM BladeCenter","Infiniband","Infiniband QDR","Australia and New Zealand","Oceania"
"289",289,111,"Leibniz Rechenzentrum","IBM","BladeCenter HX5, Xeon E7-4870 10C 2.40 GHz, Infiniband QDR","Germany",332.62,195,"Submission","SuperMIG","BladeCenter HX5, Xeon E7-4870 10C 2.40 GHz, Infiniband QDR","Leibniz Rechenzentrum","IBM","Germany",2011,"Academic",8000,0,64860,76800,84.45,1099224,0,195,332.62,"Cluster","Xeon E7-4870 10C 2.40GHz","Intel EM64T",2400,"Linux","Linux","None",10,"Xeon E7-48xx (Westmere-EX)","BladeCenter HX5","IBM BladeCenter","Infiniband","Infiniband QDR","Western Europe","Europe"
"290",290,327,"NACAD/COPPE/UFRJ","Sun Microsystems","Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR","Brazil",150.3,430,"Top500","Galileu","Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR","NACAD/COPPE/UFRJ","Sun Microsystems","Brazil",2009,"Academic",6464,0,64630,72396.8,89.27,1405152,0,430,150.3,"Cluster","Xeon X5560 4C 2.80GHz","Intel EM64T",2800,"Linux","Linux","None",4,"Xeon X55xx (Nehalem-EP)","Sun Blade 6048","Sun Blade System","Infiniband","Infiniband","South America","Americas"
"291",291,345,"Financial Institution ()","IBM","iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet","Belgium",134.51,480.24,"Submission","","iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet","Financial Institution ()","IBM","Belgium",2010,"Industry",16704,0,64597,151471.87,42.65,0,0,480.24,134.51,"Cluster","Xeon E5520 4C 2.27GHz","Intel EM64T",2267,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","xSeries iDataPlex","IBM iDataPlex","Gigabit Ethernet","Gigabit Ethernet","Western Europe","Europe"
"292",292,384,"Service Provider","IBM","xSeries x3650M2 Cluster, Xeon QC E55xx 2.26 Ghz, GigE","Japan",102.02,633.2,"Submission","","xSeries x3650M2 Cluster, Xeon QC E55xx 2.26 Ghz, GigE","Service Provider","IBM","Japan",2011,"Industry",14432,0,64596,130869.38,49.36,0,0,633.2,102.02,"Cluster","Xeon E5520 4C 2.27GHz","Intel EM64T",2267,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","xSeries x3650M2 Cluster Xeon QC","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"293",293,263,"IT Service Provider (B)","IBM","BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet","United States",178.93,360.42,"Submission","","BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet","IT Service Provider (B)","IBM","United States",2011,"Industry",11400,0,64490,115368,55.9,0,0,360.42,178.93,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"294",294,264,"IT Service Provider (B)","IBM","BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet","United States",178.93,360.42,"Submission","","BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet","IT Service Provider (B)","IBM","United States",2011,"Industry",11400,0,64490,115368,55.9,0,0,360.42,178.93,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"295",295,172,"Network Company","IBM","BladeCenter HS22 Cluster (WM), Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","China",220.93,291.38,"Submission","","BladeCenter HS22 Cluster (WM), Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","Network Company","IBM","China",2011,"Industry",11424,0,64375,115611,55.68,0,0,291.38,220.93,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","BladeCenter HS22 Cluster (WM)","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"296",296,70,"Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw","IBM","Power 775, POWER7 8C 3.84 GHz, Custom","Poland",410.48,156.71,"Submission","Boreas","Power 775, POWER7 8C 3.84 GHz, Custom","Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw","IBM","Poland",2011,"Academic",2560,0,64327,78561,81.88,0,0,156.71,410.48,"MPP","POWER7 8C 3.83GHz","Power",3830,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom","Eastern Europe","Europe"
"297",297,201,"Government","IBM","BladeCenter HS22 Cluster (WM), Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","United States",201.6,318.2,"Submission","","BladeCenter HS22 Cluster (WM), Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","Government","IBM","United States",2011,"Government",11340,0,64150,132904.8,48.27,0,0,318.2,201.6,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","BladeCenter HS22 Cluster (WM)","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"298",298,36,"Poznan Supercomputing and Networking Center, Institute of Bioorganic Chemistry","SGI","Rackable C1103-G15, Opteron 6234 12C 2.40 GHz, Infiniband QDR","Poland",788.04,81.08,"derived","","Rackable C1103-G15, Opteron 6234 12C 2.40 GHz, Infiniband QDR","Poznan Supercomputing and Networking Center, Institute of Bioorganic Chemistry","SGI","Poland",2011,"Research",5640,3024,63890,136353.6,46.86,589824,0,NA,NA,"Cluster","Opteron 6234 12C 12C 2.40GHz","AMD x86_64",2400,"Linux","Linux","NVIDIA 2050",12,"Opteron 6200 Series","Rackable C1103-G15","Rackable Cluster","Infiniband","Infiniband QDR","Eastern Europe","Europe"
"299",299,388,"Barcelona Supercomputing Center","IBM","BladeCenter JS21 Cluster, PPC 970, 2.3 GHz, Myrinet","Spain",93.37,683.59,"Derived","MareNostrum","BladeCenter JS21 Cluster, PPC 970, 2.3 GHz, Myrinet","Barcelona Supercomputing Center","IBM","Spain",2006,"Academic",10240,0,63830,94208,67.75,0,0,NA,NA,"Cluster","PowerPC 970 2C 2.30GHz","Power",2300,"Linux","Linux","None",2,"PowerPC 970","BladeCenter JS21 CLuster","IBM BladeCenter","Myrinet","Myrinet","Southern Europe","Europe"
"300",300,329,"Financial Services (H)","IBM","BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, GigE","United States",146.48,435.75,"Submission","","BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, GigE","Financial Services (H)","IBM","United States",2011,"Industry",13280,0,63828,120051.2,53.17,0,0,435.75,146.48,"Cluster","Xeon L5520 4C 2.26GHz","Intel EM64T",2260,"Linux","Linux","None",4,"Xeon L55xx (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"301",301,330,"Financial Services (H)","IBM","BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, GigE","United States",146.48,435.75,"Submission","","BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, GigE","Financial Services (H)","IBM","United States",2011,"Industry",13280,0,63828,120051.2,53.17,0,0,435.75,146.48,"Cluster","Xeon L5520 4C 2.26GHz","Intel EM64T",2260,"Linux","Linux","None",4,"Xeon L55xx (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"302",302,204,"Banking (M)","IBM","xSeries x3850M2 Cluster Xeon QC GT 2.53 GHz, GigEthernet","United States",196.76,323.84,"Submission","","xSeries x3850M2 Cluster Xeon QC GT 2.53 GHz, GigEthernet","Banking (M)","IBM","United States",2011,"Industry",11264,0,63720,113992,55.9,0,0,323.84,196.76,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","xSeries x3850 Cluster Xeon quad core","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"303",303,243,"Network Company (B)","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","United States",181.78,350.42,"Submission","","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Network Company (B)","IBM","United States",2011,"Industry",11304,0,63698,120275,52.96,0,0,350.42,181.78,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"304",304,342,"Saudi Aramco","Hewlett-Packard","Cluster Platform 3000 BL280c G6, Xeon X5670 2.93Ghz, Infiniband QDR","Saudi Arabia",137.63,460.8,"derived","","Cluster Platform 3000 BL280c G6, Xeon X5670 2.93Ghz, Infiniband QDR","Saudi Aramco","Hewlett-Packard","Saudi Arabia",2010,"Industry",6144,0,63420,72007,88.07,1130112,0,NA,NA,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform 3000 BL280c G6","HP Cluster Platform 3000BL","Infiniband","Infiniband QDR","Western Asia","Asia"
"305",305,430,"Saudi Aramco","ClusterVision/Dell","Dell PowerEdge M610 Cluster, Xeon X5670 2.93Ghz, Infiniband QDR","Saudi Arabia",69.68,906.24,"derived","PLCI","Dell PowerEdge M610 Cluster, Xeon X5670 2.93Ghz, Infiniband QDR","Saudi Aramco","ClusterVision/Dell","Saudi Arabia",2010,"Industry",6144,0,63150,72007,87.7,1048704,0,NA,NA,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","PowerEdge M610 Cluster","Dell PowerEdge Cluster","Infiniband","Infiniband QDR","Western Asia","Asia"
"306",306,462,"Arrow Enterprise Computing Solutions","Hewlett-Packard","Cluster Platform 3000 BL460c G7, Xeon X5670 2.93 Ghz, GigE","United States",53.35,1183.57,"derived","","Cluster Platform 3000 BL460c G7, Xeon X5670 2.93 Ghz, GigE","Arrow Enterprise Computing Solutions","Hewlett-Packard","United States",2011,"Industry",10314,0,63144.4,120880.1,52.24,0,0,NA,NA,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"307",307,303,"Engineering Company","IBM","BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet","China",172.41,365.66,"Submission","","BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet","Engineering Company","IBM","China",2011,"Industry",11144,0,63042,118572.16,53.17,0,0,365.66,172.41,"Cluster","Xeon X5550 4C 2.66GHz","Intel EM64T",2660,"Linux","Linux","None",4,"Xeon X55xx (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"308",308,304,"Engineering Company","IBM","BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet","China",172.41,365.66,"Submission","","BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet","Engineering Company","IBM","China",2010,"Industry",11144,0,63042,118572.16,53.17,0,0,365.66,172.41,"Cluster","Xeon X5550 4C 2.66GHz","Intel EM64T",2660,"Linux","Linux","None",4,"Xeon X55xx (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"309",309,305,"Engineering Company","IBM","BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet","China",172.41,365.66,"Submission","","BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet","Engineering Company","IBM","China",2011,"Industry",11144,0,63042,118572.16,53.17,0,0,365.66,172.41,"Cluster","Xeon X5550 4C 2.66GHz","Intel EM64T",2660,"Linux","Linux","None",4,"Xeon X55xx (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"310",310,353,"Telecommunication Company","Hewlett-Packard","HP DL160 Cluster G6, Xeon E5645 6C 2.40 GHz, Gigabit Ethernet","Japan",132.54,474,"Derived","","HP DL160 Cluster G6, Xeon E5645 6C 2.40 GHz, Gigabit Ethernet","Telecommunication Company","Hewlett-Packard","Japan",2011,"Industry",12640,0,62822,121344,51.77,0,0,NA,NA,"Cluster","Xeon E5645 6C 2.40GHz","Intel EM64T",2400,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","HP DL160 Cluster G6","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"311",311,311,"Financial Institution (P)","IBM","iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet","France",167.18,375.36,"Submission","","iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet","Financial Institution (P)","IBM","France",2011,"Industry",13056,0,62751,118026,53.17,0,0,375.36,167.18,"Cluster","Xeon E5520 4C 2.27GHz","Intel EM64T",2267,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","xSeries iDataPlex","IBM iDataPlex","Gigabit Ethernet","Gigabit Ethernet","Western Europe","Europe"
"312",312,188,"Banking (M)","IBM","xSeries x3650 Cluster Xeon QC GT 2.66 GHz, Infiniband","United States",210.5,298,"Submission","","xSeries x3650 Cluster Xeon QC GT 2.66 GHz, Infiniband","Banking (M)","IBM","United States",2010,"Industry",6808,0,62729.52,72600.51,86.4,0,0,298,210.5,"Cluster","Xeon X5550 4C 2.66GHz","Intel EM64T",2660,"Linux","Linux","None",4,"Xeon X55xx (Nehalem-EP)","xSeries x3650 Cluster Xeon quad core","IBM xSeries","Infiniband","Infiniband","North America","Americas"
"313",313,271,"IT Services Provider (C)","IBM","BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet","United States",178.92,349.3,"Submission","","BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet","IT Services Provider (C)","IBM","United States",2011,"Industry",11048,0,62498,111805.76,55.9,0,0,349.3,178.92,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"314",314,272,"IT Services Provider (C)","IBM","BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet","United States",178.92,349.3,"Submission","","BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet","IT Services Provider (C)","IBM","United States",2011,"Industry",11048,0,62498,111805.76,55.9,0,0,349.3,178.92,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
